model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
gemma_270m_base,base,capital,capital:14,capital:15,declarative,qa,primary,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0587043166160583,-0.202842116355896,-0.2615464329719543,0.0,0.0,0.0,0.0,-0.0041041374206542,-0.0628084540367126,0.0,0.0,0.0,0.0,0.0596277713775634,0.0009234547615051,0.0,0.0,0.0,0.0,0.0,0.0,0.127636969089508,0.1484299302101135,0.0207929611206054,0.0,0.0,0.0,0.0,0.0330588817596435,-0.0945780873298645,0.0,0.0,0.0,0.0,-0.0220568180084228,-0.1496937870979309
gemma_270m_base,base,capital,capital:15,capital:16,declarative,qa,primary,0,12,0.1999999999999999,0.0,-0.1999999999999999,0.1999999999999999,0.0,-0.1999999999999999,0.0800471305847168,-0.2228235006332397,-0.3028706312179565,0.1999999999999999,0.0,0.1999999999999999,0.0,0.080774962902069,0.0007278323173522,0.1999999999999999,0.0,0.1999999999999999,0.0,0.0794856548309326,-0.0005614757537841,0.0,0.0,0.0,0.0,0.0,0.0,0.1317476630210876,0.1426044106483459,0.0108567476272583,0.0,0.0,0.0,0.0,0.0896266102790832,-0.0421210527420043,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.064560055732727,-0.0671876072883606
gemma_270m_base,base,capital,capital:16,capital:17,declarative,qa,primary,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0732607841491699,-0.0434381961822509,-0.1166989803314209,0.0,0.0,0.0,0.0,0.0017687678337097,-0.0714920163154602,0.0,0.0,0.0,0.0,0.07481449842453,0.0015537142753601,0.0,0.0,0.0,0.0,0.0,0.0,0.1356648206710815,0.1535443663597107,0.0178795456886291,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1013035178184509,-0.0343613028526306,0.0,0.0,0.0,0.0,0.0343634486198425,-0.101301372051239
gemma_270m_base,base,capital,capital:17,capital:2,declarative,qa,primary,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0716695785522461,-0.2083441019058227,-0.2800136804580688,0.0,0.0,0.0,0.0,-0.041930615901947,-0.1136001944541931,0.0,0.0,0.0,0.0,0.0760441422462463,0.0043745636940002,0.0,0.0,0.0,0.0,0.0,0.0,0.1268906593322754,0.1446541547775268,0.0177634954452514,0.0,0.0,0.0,0.0,-0.0021629929542541,-0.1290536522865295,0.0,0.0,0.0,0.0,-0.0406519174575805,-0.1675425767898559
gemma_270m_base,base,official_language,official_language:14,official_language:15,declarative,qa,primary,0,12,0.1999999999999999,0.0,-0.1999999999999999,0.0,0.0,0.0,0.0498644709587097,-0.1611126065254211,-0.2109770774841308,0.0,-0.1999999999999999,0.0,0.0,0.0106200575828552,-0.0392444133758544,0.1999999999999999,0.0,0.0,0.0,0.0490260124206543,-0.0008384585380554,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0637980103492736,0.0776081681251525,0.0138101577758789,0.0,-0.2222222222222222,0.0,0.0,0.0170552730560302,-0.0467427372932434,0.0,-0.2222222222222222,0.0,0.0,0.0100099444389343,-0.0537880659103393
gemma_270m_base,base,official_language,official_language:15,official_language:16,declarative,qa,primary,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.0676146745681762,-0.1618639230728149,-0.2294785976409912,0.1999999999999999,-0.0222222222222222,0.1999999999999999,-0.0222222222222222,0.0646932721138,-0.0029214024543762,0.1999999999999999,-0.0222222222222222,0.1999999999999999,-0.0222222222222222,0.0659947991371154,-0.0016198754310607,0.2222222222222222,0.1999999999999999,-0.0222222222222222,0.2222222222222222,0.1999999999999999,-0.0222222222222222,0.0808492302894592,0.085631251335144,0.0047820210456848,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0440653562545776,-0.0367838740348815,0.0,-0.2222222222222222,0.0,-0.2222222222222222,-0.0426845550537109,-0.1235337853431701
gemma_270m_base,base,official_language,official_language:16,official_language:17,declarative,qa,primary,0,12,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0636840462684631,0.0240387916564941,-0.0396452546119689,0.0,0.0,0.0,0.0,0.0067743062973022,-0.0569097399711608,0.0,0.0,0.0,0.0,0.0639229416847229,0.0002388954162597,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0834193229675293,0.0986533164978027,0.0152339935302734,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0534403920173645,-0.0299789309501647,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0067593455314636,-0.0766599774360656
gemma_270m_base,base,official_language,official_language:17,official_language:2,declarative,qa,primary,0,12,0.25,0.0,-0.25,0.25,0.0,-0.25,0.0604394674301147,-0.1530455350875854,-0.2134850025177002,0.0,-0.25,0.0,-0.25,-0.0289993286132812,-0.089438796043396,0.25,0.0,0.25,0.0,0.0495087504386901,-0.0109307169914245,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0624549388885498,0.0676508545875549,0.0051959156990051,0.0,-0.2222222222222222,0.0,-0.2222222222222222,-0.0049999952316284,-0.0674549341201782,0.1999999999999999,-0.0222222222222222,0.1999999999999999,-0.0222222222222222,-0.054197072982788,-0.1166520118713378
gemma_270m_base,base,currency,currency:14,currency:15,declarative,qa,primary,0,12,0.2,0.0,-0.2,0.0,0.0,0.0,0.0748041272163391,-0.1846731901168823,-0.2594773173332214,0.2,0.0,-0.1636363636363636,-0.1636363636363636,0.0110971927642822,-0.0637069344520568,0.2,0.0,0.0,0.0,0.0756781697273254,0.0008740425109863,0.4,0.4,0.0,0.0,0.0,0.0,0.089296817779541,0.1027097105979919,0.0134128928184509,0.0,-0.4,0.0,0.0,0.0212882757186889,-0.068008542060852,0.0,-0.4,0.0,0.0,-0.0186464190483093,-0.1079432368278503
gemma_270m_base,base,currency,currency:15,currency:16,declarative,qa,primary,0,12,0.5,0.0,-0.5,0.5,0.0,-0.5,0.0864352583885192,-0.2004449963569641,-0.2868802547454834,0.5714285714285715,0.0714285714285715,0.5714285714285715,0.0714285714285715,0.0857858657836914,-0.0006493926048278,0.5714285714285715,0.0714285714285715,0.5714285714285715,0.0714285714285715,0.0869749188423156,0.0005396604537963,0.2222222222222222,0.8,0.5777777777777778,0.2222222222222222,0.8,0.5777777777777778,0.0889709591865539,0.1038599610328674,0.0148890018463134,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0579789876937866,-0.0309919714927673,0.1666666666666666,-0.0555555555555555,0.1666666666666666,-0.0555555555555555,0.0018785595893859,-0.0870923995971679
