fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap
capital:0,capital,subject,0,0.9997640252113342,0.8638572652231563,0.13590675998817792
capital:0,capital,subject,1,0.9999353388945261,0.994955335828391,0.004980003066135108
capital:0,capital,subject,2,0.9998693068822225,0.9882632819089022,0.011606024973320306
capital:0,capital,subject,3,0.9998555680116018,0.9283111305399374,0.07154443747166439
capital:0,capital,subject,4,0.9990347822507223,0.930633544921875,0.06840123732884729
capital:0,capital,subject,5,0.9998346269130707,0.9757906184955076,0.024044008417563045
capital:0,capital,subject,6,0.9994040926297506,0.9762873429466378,0.023116749683112836
capital:0,capital,subject,7,0.9989542464415232,0.9846144254234704,0.014339821018052756
capital:0,capital,subject,8,0.9988002479076385,0.9886193654753945,0.01018088243224402
capital:0,capital,subject,9,0.9986205101013184,0.9905170015990734,0.00810350850224495
capital:0,capital,subject,10,0.9980277319749197,0.991928272287954,0.00609945968696568
capital:0,capital,subject,11,0.9875760277112325,0.9645266194235195,0.02304940828771307
capital:0,capital,subject,12,0.9868513643741608,0.9126404137773947,0.07421095059676608
capital:0,capital,subject,13,0.9905200600624084,0.9497420814904299,0.04077797857197851
capital:0,capital,subject,14,0.9830166002114614,0.9442647837779738,0.038751816433487574
capital:0,capital,subject,15,0.9815760652224222,0.9193639765408906,0.06221208868153161
capital:0,capital,subject,16,0.985017200311025,0.9442941458387808,0.040723054472244224
capital:0,capital,subject,17,0.8901054163773855,0.672268820418553,0.21783659595883254
capital:0,capital,preanswer,0,0.8696162899335226,0.9028126831081781,-0.0331963931746555
capital:0,capital,preanswer,1,0.9852317869663239,0.988920963623307,-0.0036891766569830953
capital:0,capital,preanswer,2,0.9776497383912405,0.9833509166809645,-0.0057011782897240515
capital:0,capital,preanswer,3,0.9366467893123627,0.9526158208874139,-0.01596903157505125
capital:0,capital,preanswer,4,0.9404561718304952,0.9555790170349858,-0.015122845204490587
capital:0,capital,preanswer,5,0.9602135022481283,0.9695523936640132,-0.009338891415884953
capital:0,capital,preanswer,6,0.9709821542104086,0.9781363318589601,-0.00715417764855153
capital:0,capital,preanswer,7,0.9828366537888845,0.9871514676646753,-0.004314813875790802
capital:0,capital,preanswer,8,0.9801283677419027,0.985060265795751,-0.004931898053848305
capital:0,capital,preanswer,9,0.973229984442393,0.979897371747277,-0.0066673873048840315
capital:0,capital,preanswer,10,0.9825029671192169,0.9864034642550078,-0.0039004971357908813
capital:0,capital,preanswer,11,0.9483826160430908,0.959822014990178,-0.011439398947087231
capital:0,capital,preanswer,12,0.9491235017776489,0.8041504912755706,0.14497301050207834
capital:0,capital,preanswer,13,0.9604589641094208,0.9149276841093194,0.045531280000101426
capital:0,capital,preanswer,14,0.9659631450970968,0.9344834631139581,0.03147968198313866
capital:0,capital,preanswer,15,0.9567508002122244,0.8958538167855956,0.06089698342662875
capital:0,capital,preanswer,16,0.9666694104671478,0.9330981593917717,0.033571251075376174
capital:0,capital,preanswer,17,0.778786967198054,0.6794757433235645,0.09931122387448943
capital:1,capital,subject,0,0.9993413289388021,0.8874259621582248,0.11191536678057734
capital:1,capital,subject,1,0.9999164740244547,0.9954564503648065,0.00446002365964826
capital:1,capital,subject,2,0.9998698035875956,0.9871579554270614,0.012711848160534167
capital:1,capital,subject,3,0.9999167124430338,0.9276454011824998,0.07227131126053399
capital:1,capital,subject,4,0.9992877940336863,0.9245455193925988,0.07474227464108751
capital:1,capital,subject,5,0.999828020731608,0.9750990877774629,0.024728932954145133
capital:1,capital,subject,6,0.9995873967806498,0.9761501794511621,0.02343721732948767
capital:1,capital,subject,7,0.9987106223901113,0.9845882488245313,0.014122373565579993
capital:1,capital,subject,8,0.9986005127429962,0.9881441637196324,0.010456349023363787
capital:1,capital,subject,9,0.9985738098621368,0.9900422279130329,0.008531581949103972
capital:1,capital,subject,10,0.9980782568454742,0.9915291870182211,0.006549069827253118
capital:1,capital,subject,11,0.988745798667272,0.9644900780509819,0.02425572061629011
capital:1,capital,subject,12,0.9891078472137451,0.917333013293418,0.07177483392032713
