country,prompt,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
Afghanistan,What is the capital of Afghanistan?,raw_question,0,154.10948181152344,193.6166229248047,0.25568264722824097
Afghanistan,What is the capital of Afghanistan?,raw_question,1,1067.5889892578125,105.24807739257812,0.19785256683826447
Afghanistan,What is the capital of Afghanistan?,raw_question,2,1331.8486328125,16.047161102294922,0.16086500883102417
Afghanistan,What is the capital of Afghanistan?,raw_question,3,1614.8094482421875,13.712949752807617,0.19942107796669006
Afghanistan,What is the capital of Afghanistan?,raw_question,4,2333.033203125,9.74887466430664,0.18468350172042847
Afghanistan,What is the capital of Afghanistan?,raw_question,5,2744.24609375,20.30721664428711,0.14476998150348663
Afghanistan,What is the capital of Afghanistan?,raw_question,6,3199.39892578125,8.18453598022461,0.15763162076473236
Afghanistan,What is the capital of Afghanistan?,raw_question,7,4997.1005859375,16.529233932495117,0.16768446564674377
Afghanistan,What is the capital of Afghanistan?,raw_question,8,5980.64599609375,16.283517837524414,0.17038652300834656
Afghanistan,What is the capital of Afghanistan?,raw_question,9,5403.0537109375,12.136427879333496,0.13166587054729462
Afghanistan,What is the capital of Afghanistan?,raw_question,10,10514.8916015625,24.626266479492188,0.19335705041885376
Afghanistan,What is the capital of Afghanistan?,raw_question,11,10963.8193359375,3.545529365539551,0.17100906372070312
Afghanistan,What is the capital of Afghanistan?,raw_question,12,12971.3369140625,27.506139755249023,0.12949605286121368
Afghanistan,What is the capital of Afghanistan?,raw_question,13,16454.23828125,25.733226776123047,0.10633355379104614
Afghanistan,What is the capital of Afghanistan?,raw_question,14,17386.611328125,44.409000396728516,0.10952134430408478
Afghanistan,What is the capital of Afghanistan?,raw_question,15,18650.16796875,33.66351318359375,0.1025046706199646
Afghanistan,What is the capital of Afghanistan?,raw_question,16,25015.701171875,39.984046936035156,0.09123977273702621
Afghanistan,What is the capital of Afghanistan?,raw_question,17,166.82061767578125,10.46361255645752,0.12273183465003967
Afghanistan,The capital of Afghanistan is,declarative,0,131.79763793945312,157.57000732421875,0.21468546986579895
Afghanistan,The capital of Afghanistan is,declarative,1,859.7459106445312,127.75251770019531,0.242141991853714
Afghanistan,The capital of Afghanistan is,declarative,2,1211.34326171875,21.711057662963867,0.19042754173278809
Afghanistan,The capital of Afghanistan is,declarative,3,1636.49072265625,14.283276557922363,0.22101335227489471
Afghanistan,The capital of Afghanistan is,declarative,4,2444.824951171875,9.961956024169922,0.17922426760196686
Afghanistan,The capital of Afghanistan is,declarative,5,2821.826171875,20.17271614074707,0.14693616330623627
Afghanistan,The capital of Afghanistan is,declarative,6,3573.826416015625,8.391302108764648,0.16560833156108856
Afghanistan,The capital of Afghanistan is,declarative,7,5609.8251953125,17.27313804626465,0.1720493733882904
Afghanistan,The capital of Afghanistan is,declarative,8,5439.564453125,16.45174789428711,0.17234310507774353
Afghanistan,The capital of Afghanistan is,declarative,9,5573.59326171875,14.486563682556152,0.13573810458183289
Afghanistan,The capital of Afghanistan is,declarative,10,8555.474609375,28.396780014038086,0.19710427522659302
Afghanistan,The capital of Afghanistan is,declarative,11,9917.240234375,5.004693508148193,0.19810868799686432
Afghanistan,The capital of Afghanistan is,declarative,12,12076.4189453125,35.80345153808594,0.160457044839859
Afghanistan,The capital of Afghanistan is,declarative,13,15151.1865234375,23.795913696289062,0.12628906965255737
Afghanistan,The capital of Afghanistan is,declarative,14,18528.908203125,51.8219108581543,0.11963677406311035
Afghanistan,The capital of Afghanistan is,declarative,15,19960.63671875,35.6472053527832,0.10777410119771957
Afghanistan,The capital of Afghanistan is,declarative,16,23059.9296875,38.25489044189453,0.10568975657224655
Afghanistan,The capital of Afghanistan is,declarative,17,273.9698181152344,10.26716136932373,0.13628984987735748
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,0,126.2735366821289,161.15994262695312,0.28756704926490784
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,1,812.9414672851562,146.67320251464844,0.23879531025886536
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,2,1007.3404541015625,21.469362258911133,0.17478781938552856
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,3,1805.7808837890625,14.030733108520508,0.21914711594581604
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,4,2123.7509765625,11.552313804626465,0.1749897599220276
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,5,3491.549560546875,16.676437377929688,0.15267357230186462
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,6,3661.55419921875,6.157358646392822,0.15252594649791718
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,7,4887.11083984375,16.084815979003906,0.16128580272197723
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,8,5400.0595703125,15.262829780578613,0.19072669744491577
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,9,5220.12939453125,14.813720703125,0.13601914048194885
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,10,8357.2333984375,30.37650489807129,0.1887054443359375
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,11,8926.64453125,5.152633190155029,0.19111047685146332
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,12,11981.0478515625,34.334537506103516,0.15439854562282562
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,13,14612.4599609375,25.742176055908203,0.11628393828868866
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,14,18104.767578125,46.66788101196289,0.11542925238609314
