relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,18
birth_place,chat_template,contains_expected,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,chat_template,answer_f1,0.037037037037037035,0.0,0.1111111111111111,18
birth_place,chat_template,answer_similarity,0.19787904546628388,0.1576521061033145,0.24311467501234083,18
birth_place,declarative,full_exact_match,0.0,0.0,0.0,18
birth_place,declarative,contains_expected,0.2222222222222222,0.05555555555555555,0.3888888888888889,18
birth_place,declarative,answer_f1,0.14841269841269844,0.04166666666666666,0.27632936507936495,18
birth_place,declarative,answer_similarity,0.31416779459123634,0.22251128258284422,0.4223452459351849,18
birth_place,qa,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,qa,contains_expected,0.3888888888888889,0.2208333333333334,0.6111111111111112,18
birth_place,qa,answer_f1,0.2286596119929453,0.10121693121693123,0.3699691358024691,18
birth_place,qa,answer_similarity,0.3667763953889376,0.25998731468838493,0.4946685489569143,18
birth_place,raw_question,full_exact_match,0.16666666666666666,0.0,0.3333333333333333,18
birth_place,raw_question,contains_expected,0.2777777777777778,0.1111111111111111,0.4444444444444444,18
birth_place,raw_question,answer_f1,0.2296296296296296,0.07361111111111114,0.4112037037037037,18
birth_place,raw_question,answer_similarity,0.33320082370435367,0.18365852970327126,0.4984573128033588,18
capital,chat_template,full_exact_match,0.2777777777777778,0.1111111111111111,0.5,18
capital,chat_template,contains_expected,0.6666666666666666,0.4444444444444444,0.8888888888888888,18
capital,chat_template,answer_f1,0.45608465608465615,0.2872883597883598,0.6333597883597883,18
capital,chat_template,answer_similarity,0.5654154312577719,0.4338584242132,0.7089358268775376,18
capital,declarative,full_exact_match,0.0,0.0,0.0,18
capital,declarative,contains_expected,0.8888888888888888,0.7222222222222222,1.0,18
capital,declarative,answer_f1,0.2944444444444445,0.2280787037037037,0.35621141975308634,18
capital,declarative,answer_similarity,0.3537063666248124,0.28983851209497746,0.4206913956133844,18
capital,qa,full_exact_match,0.0,0.0,0.0,18
capital,qa,contains_expected,0.8333333333333334,0.6666666666666666,1.0,18
capital,qa,answer_f1,0.29647266313932985,0.24316468253968257,0.34363095238095237,18
