model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
smollm2_360m_base,capital,raw_question,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,27,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,declarative,invariant,capital:14,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,qa,invariant,capital:14,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,chat_template,invariant,capital:14,1.0,1.0,0.0,1.0,1.0,0.0,11,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,raw_question,invariant,capital:15,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,22,22,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,declarative,invariant,capital:15,0.4,0.33333333333333337,0.06666666666666665,1.0,1.0,0.0,1,1,0.4,0.33333333333333337,0.06666666666666665,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,qa,invariant,capital:15,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,chat_template,invariant,capital:15,1.0,0.5,0.5,1.0,1.0,0.0,4,1,1.0,0.5,0.5,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,raw_question,invariant,capital:16,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,8,8,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,declarative,invariant,capital:16,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,qa,invariant,capital:16,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.25,0.25,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,chat_template,invariant,capital:16,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,1,1,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,raw_question,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,69,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,declarative,invariant,capital:17,0.5,0.0,0.5,1.0,0.0,1.0,1,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,qa,invariant,capital:17,0.4,0.0,0.4,1.0,0.0,1.0,2,2,0.4,0.0,0.4,0.0,0.0,0.0,0.0
smollm2_360m_base,capital,chat_template,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,official_language,raw_question,invariant,official_language:14,0.25,0.25,0.0,1.0,1.0,0.0,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,official_language,declarative,invariant,official_language:14,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_base,official_language,qa,invariant,official_language:14,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
