relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0
birth_place,declarative,0.13724489795918365,0.1086734693877551,0.0,0.028571428571428574,0.0,0.028571428571428574
birth_place,qa,0.2511337868480726,0.20351473922902494,0.0,0.047619047619047616,0.0,0.047619047619047616
birth_place,raw_question,0.29523809523809524,0.22380952380952385,0.0,0.07142857142857142,0.0,0.07142857142857142
capital,chat_template,0.4231292517006803,0.4231292517006803,0.0,0.0,0.0,0.0
capital,declarative,0.2761904761904762,0.2761904761904762,0.0,0.0,0.0,0.0
capital,qa,0.2871315192743764,0.2871315192743764,0.0,0.0,0.0,0.0
capital,raw_question,0.4486394557823129,0.4486394557823129,0.0,0.0,0.0,0.0
currency,chat_template,0.42142857142857143,0.39285714285714285,0.0,0.0,0.028571428571428574,0.028571428571428574
currency,declarative,0.3963718820861678,0.3963718820861678,0.0,0.0,0.0,0.0
currency,qa,0.476984126984127,0.42936507936507934,0.0,0.0,0.047619047619047616,0.047619047619047616
currency,raw_question,0.2571428571428572,0.2571428571428572,0.0,0.0,0.0,0.0
headquarters,chat_template,0.30765306122448977,0.24280045351473922,0.0,0.06485260770975057,0.06485260770975057,0.06485260770975057
headquarters,declarative,0.5127551020408163,0.27154195011337867,0.0,0.24121315192743764,0.22534013605442177,0.24121315192743764
headquarters,qa,0.5206349206349207,0.3761904761904762,0.0,0.14444444444444443,0.14444444444444443,0.14444444444444443
headquarters,raw_question,0.2941609977324263,0.22828798185941043,0.0,0.06587301587301587,0.051587301587301584,0.06587301587301587
official_language,chat_template,0.12142857142857144,0.04642857142857143,0.0,0.0,0.075,0.075
official_language,declarative,0.1576530612244898,0.10153061224489797,0.0,0.0,0.05612244897959184,0.05612244897959184
official_language,qa,0.16479591836734692,0.10051020408163265,0.014285714285714287,0.0,0.049999999999999996,0.0642857142857143
official_language,raw_question,0.10515873015873016,0.037698412698412696,0.015873015873015872,0.0,0.051587301587301584,0.06746031746031746
