relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,0.030423280423280435,-0.20238095238095236,0.22751322751322756,0.625,12
birth_place,target_selectivity,chat_template,qa,-0.050462962962962966,-0.25023148148148144,0.09105324074074046,1.0,12
birth_place,target_selectivity,chat_template,raw_question,-0.1685185185185185,-0.3540277777777777,-0.018518518518518517,0.25,12
birth_place,target_selectivity,declarative,qa,-0.0808862433862434,-0.18511078042328047,-0.010582010582010587,0.125,12
birth_place,target_selectivity,declarative,raw_question,-0.19894179894179898,-0.3795767195767196,-0.04761904761904762,0.125,12
birth_place,target_selectivity,qa,raw_question,-0.11805555555555557,-0.28703703703703703,0.004629629629629632,1.0,12
capital,target_selectivity,chat_template,declarative,-0.6009800384800386,-0.800065386002886,-0.3780505952380955,0.00390625,12
capital,target_selectivity,chat_template,qa,-0.5081349206349206,-0.6964781746031747,-0.2700446428571429,0.0654296875,12
capital,target_selectivity,chat_template,raw_question,-0.35694444444444445,-0.5071180555555554,-0.15267361111111122,0.021484375,12
capital,target_selectivity,declarative,qa,0.09284511784511784,0.01893127705627705,0.1609650072150071,0.34375,12
capital,target_selectivity,declarative,raw_question,0.24403559403559402,0.1120508658008658,0.3750825216450216,0.00390625,12
capital,target_selectivity,qa,raw_question,0.1511904761904762,0.04423445767195766,0.2688525132275132,0.109375,12
currency,target_selectivity,chat_template,declarative,-0.1554052429052429,-0.31940010221260223,-0.015557659932660036,0.2890625,12
currency,target_selectivity,chat_template,qa,-0.12135642135642137,-0.31502765752765755,0.054617303992303946,0.2890625,12
currency,target_selectivity,chat_template,raw_question,-0.06546416546416549,-0.2835278379028379,0.10678270803270797,1.0,12
currency,target_selectivity,declarative,qa,0.03404882154882156,-0.06615845959595959,0.1590119949494949,1.0,12
currency,target_selectivity,declarative,raw_question,0.08994107744107743,-0.05773569023569023,0.23936132154882128,1.0,12
currency,target_selectivity,qa,raw_question,0.05589225589225588,-0.10648989898989901,0.20398148148148124,0.625,12
headquarters,target_selectivity,chat_template,declarative,-0.21534391534391537,-0.4792724867724868,0.10980158730158712,0.1796875,12
headquarters,target_selectivity,chat_template,qa,-0.09983164983164987,-0.3751409932659933,0.2019823232323231,0.75390625,12
headquarters,target_selectivity,chat_template,raw_question,-0.12787397787397792,-0.37350168350168345,0.142848124098124,0.5078125,12
headquarters,target_selectivity,declarative,qa,0.11551226551226552,-0.0008441558441558313,0.25481842231842217,0.75390625,12
headquarters,target_selectivity,declarative,raw_question,0.08746993746993748,-0.008612313612313613,0.20666185666185666,1.0,12
headquarters,target_selectivity,qa,raw_question,-0.028042328042328046,-0.10060125060125058,0.03138528138528136,1.0,12
official_language,target_selectivity,chat_template,declarative,0.057142857142857155,-0.14285714285714282,0.21399801587301578,0.6875,12
official_language,target_selectivity,chat_template,qa,-0.03750000000000001,-0.21666666666666665,0.09583333333333333,1.0,12
official_language,target_selectivity,chat_template,raw_question,-0.05231481481481482,-0.22788194444444443,0.06274305555555533,1.0,12
official_language,target_selectivity,declarative,qa,-0.09464285714285715,-0.18772817460317462,-0.00016369047619052546,0.125,12
official_language,target_selectivity,declarative,raw_question,-0.10945767195767196,-0.22085482804232812,-0.0010962301587301878,0.125,12
official_language,target_selectivity,qa,raw_question,-0.014814814814814814,-0.07927083333333332,0.04768518518518519,1.0,12
