relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,3398.9166666666665,-10.263346354166666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.34424105986605985
birth_place,declarative,70.75,-3.0338541666666665,0.0,0.16666666666666666,0.11375661375661376,0.2838570257721385
birth_place,qa,361.1666666666667,-4.57421875,0.0,0.08333333333333333,0.053703703703703705,0.25394277149392236
birth_place,raw_question,2049.6666666666665,-10.119791666666666,0.0,0.0,0.0,0.2288475297350562
capital,chat_template,19.0,-3.484375,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.8620554177005789
capital,declarative,8.583333333333334,-1.4791666666666667,0.0,0.4166666666666667,0.12124218374218375,0.2703907557391469
capital,qa,1.3333333333333333,1.9895833333333333,0.0,0.75,0.21408730158730158,0.2895645671557813
capital,raw_question,12.833333333333334,-3.3489583333333335,0.0,0.75,0.36527777777777776,0.5497303720423296
currency,chat_template,172.16666666666666,-6.143229166666667,0.08333333333333333,0.25,0.3846560846560847,0.6809737141593907
currency,declarative,163.41666666666666,-7.015625,0.0,0.3333333333333333,0.22925084175084176,0.3610771902984385
currency,qa,13.916666666666666,-2.109375,0.0,0.25,0.2632996632996633,0.44161810931719697
currency,raw_question,296.5,-5.497395833333333,0.0,0.3333333333333333,0.3191919191919192,0.4747030856380978
headquarters,chat_template,1052.8333333333333,-7.255208333333333,0.3333333333333333,0.4166666666666667,0.4583333333333333,0.6115379682834926
headquarters,declarative,50.666666666666664,-2.6796875,0.0,0.25,0.11798941798941798,0.27272645708950916
headquarters,qa,50.333333333333336,-2.8958333333333335,0.0,0.6666666666666666,0.252020202020202,0.3108424509901599
headquarters,raw_question,916.8333333333334,-7.782552083333333,0.0,0.6666666666666666,0.22397787397787397,0.2930105260258127
official_language,chat_template,35.0,-6.286458333333333,0.3333333333333333,0.4166666666666667,0.375,0.6409248867539943
official_language,declarative,10.333333333333334,-1.265625,0.0,0.75,0.2392857142857143,0.3858080600292084
official_language,qa,1.0833333333333333,2.4010416666666665,0.0,0.6666666666666666,0.14351851851851852,0.256025486415366
official_language,raw_question,34.416666666666664,-4.40625,0.0,0.5,0.10601851851851851,0.22895572645417528
