relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0
birth_place,declarative,0.11375661375661376,0.11375661375661376,0.0,0.0,0.0,0.0
birth_place,qa,0.053703703703703705,0.032870370370370376,0.0,0.020833333333333332,0.0,0.020833333333333332
birth_place,raw_question,0.0,-0.08518518518518518,0.0,0.018518518518518517,0.06666666666666667,0.08518518518518518
capital,chat_template,0.7222222222222222,0.7222222222222222,0.0,0.0,0.0,0.0
capital,declarative,0.12124218374218375,0.12124218374218375,0.0,0.0,0.0,0.0
capital,qa,0.21408730158730158,0.21408730158730158,0.0,0.0,0.0,0.0
capital,raw_question,0.36527777777777776,0.36527777777777776,0.0,0.0,0.0,0.0
currency,chat_template,0.3846560846560847,0.3846560846560847,0.0,0.0,0.0,0.0
currency,declarative,0.22925084175084176,0.22925084175084176,0.0,0.0,0.0,0.0
currency,qa,0.2632996632996633,0.2632996632996633,0.0,0.0,0.0,0.0
currency,raw_question,0.3191919191919192,0.3191919191919192,0.0,0.0,0.0,0.0
headquarters,chat_template,0.4583333333333333,0.3333333333333333,0.0,0.041666666666666664,0.125,0.125
headquarters,declarative,0.11798941798941798,0.11798941798941798,0.0,0.0,0.0,0.0
headquarters,qa,0.252020202020202,0.23350168350168352,0.0,0.01851851851851852,0.01851851851851852,0.01851851851851852
headquarters,raw_question,0.22397787397787397,0.20545935545935545,0.0,0.01851851851851852,0.01851851851851852,0.01851851851851852
official_language,chat_template,0.375,0.125,0.0,0.0,0.25,0.25
official_language,declarative,0.2392857142857143,0.18214285714285716,0.0,0.0,0.057142857142857134,0.057142857142857134
official_language,qa,0.14351851851851852,0.08749999999999998,0.0,0.0,0.056018518518518516,0.056018518518518516
official_language,raw_question,0.10601851851851851,0.07268518518518519,0.0,0.0,0.03333333333333333,0.03333333333333333
