relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs,model_name
birth_place,answer_f1,chat_template,declarative,0.05,0.0,0.15,1.0,8,gemma_270m_base
birth_place,answer_f1,chat_template,qa,0.03125,0.0,0.09375,1.0,8,gemma_270m_base
birth_place,answer_f1,chat_template,raw_question,0.1458333333333333,0.0,0.3125,0.5,8,gemma_270m_base
birth_place,answer_f1,declarative,qa,-0.01875,-0.15,0.0625,1.0,8,gemma_270m_base
birth_place,answer_f1,declarative,raw_question,0.0958333333333333,-0.1129166666666666,0.3078125,1.0,8,gemma_270m_base
birth_place,answer_f1,qa,raw_question,0.1145833333333333,0.0,0.2765625000000001,0.5,8,gemma_270m_base
capital,answer_f1,chat_template,declarative,-0.0170454545454545,-0.1665246212121212,0.0774652777777777,1.0,8,gemma_270m_base
capital,answer_f1,chat_template,qa,-0.1638888888888889,-0.3611111111111111,-0.0056249999999998,0.25,8,gemma_270m_base
capital,answer_f1,chat_template,raw_question,-0.0805555555555555,-0.3305555555555556,0.1166666666666666,1.0,8,gemma_270m_base
capital,answer_f1,declarative,qa,-0.1468434343434343,-0.226082702020202,-0.0527777777777777,0.0625,8,gemma_270m_base
capital,answer_f1,declarative,raw_question,-0.063510101010101,-0.202020202020202,0.1132449494949495,0.375,8,gemma_270m_base
capital,answer_f1,qa,raw_question,0.0833333333333333,0.0,0.25,1.0,8,gemma_270m_base
currency,answer_f1,chat_template,declarative,0.0563582251082251,-0.1331337932900433,0.2025859036796537,0.453125,8,gemma_270m_base
currency,answer_f1,chat_template,qa,0.0296717171717171,-0.1480113636363636,0.1743087121212121,1.0,8,gemma_270m_base
currency,answer_f1,chat_template,raw_question,-3.469446951953614e-18,-0.3698958333333333,0.3490625,1.0,8,gemma_270m_base
currency,answer_f1,declarative,qa,-0.0266865079365079,-0.1056637806637806,0.0807242063492064,0.375,8,gemma_270m_base
currency,answer_f1,declarative,raw_question,-0.0563582251082251,-0.2580397727272727,0.1684280303030303,0.453125,8,gemma_270m_base
currency,answer_f1,qa,raw_question,-0.0296717171717171,-0.2630050505050505,0.2370738636363636,0.6875,8,gemma_270m_base
