relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.0,0.0,0.0,0.0,0.0,0.0
birth_place,declarative,0.1601190476190476,0.12678571428571428,0.0,0.03333333333333333,0.0,0.03333333333333333
birth_place,qa,0.21203703703703702,0.15648148148148147,0.0,0.05555555555555555,0.0,0.05555555555555555
birth_place,raw_question,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333
capital,chat_template,0.3865079365079365,0.3865079365079365,0.0,0.0,0.0,0.0
capital,declarative,0.2851851851851852,0.2851851851851852,0.0,0.0,0.0,0.0
capital,qa,0.29034391534391535,0.29034391534391535,0.0,0.0,0.0,0.0
capital,raw_question,0.4162698412698413,0.4162698412698413,0.0,0.0,0.0,0.0
currency,chat_template,0.45,0.4166666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333
currency,declarative,0.4052910052910053,0.4052910052910053,0.0,0.0,0.0,0.0
currency,qa,0.47314814814814815,0.41759259259259257,0.0,0.0,0.05555555555555555,0.05555555555555555
currency,raw_question,0.25833333333333336,0.25833333333333336,0.0,0.0,0.0,0.0
headquarters,chat_template,0.2351190476190476,0.19345238095238093,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664
headquarters,declarative,0.3551587301587302,0.33134920634920634,0.0,0.02380952380952381,0.02380952380952381,0.02380952380952381
headquarters,qa,0.5194444444444445,0.4986111111111111,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332
headquarters,raw_question,0.27671957671957675,0.27671957671957675,0.0,0.0,0.0,0.0
official_language,chat_template,0.1416666666666667,0.05416666666666667,0.0,0.0,0.08750000000000001,0.08750000000000001
official_language,declarative,0.18392857142857144,0.11845238095238096,0.0,0.0,0.06547619047619048,0.06547619047619048
official_language,qa,0.1714285714285714,0.09642857142857142,0.016666666666666666,0.0,0.05833333333333333,0.075
official_language,raw_question,0.10185185185185186,0.02314814814814815,0.018518518518518517,0.0,0.06018518518518518,0.0787037037037037
