relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,0.12678571428571428,-0.03571428571428572,0.2869494047619048,0.375,12
birth_place,target_selectivity,chat_template,qa,0.15648148148148147,-0.05567129629629628,0.3371064814814814,0.21875,12
birth_place,target_selectivity,chat_template,raw_question,0.08333333333333333,-0.16666666666666666,0.3333333333333333,1.0,12
birth_place,target_selectivity,declarative,qa,0.029695767195767192,-0.13506613756613756,0.1783201058201058,1.0,12
birth_place,target_selectivity,declarative,raw_question,-0.04345238095238096,-0.25184523809523807,0.15476190476190474,1.0,12
birth_place,target_selectivity,qa,raw_question,-0.07314814814814814,-0.2954398148148148,0.20405092592592564,0.453125,12
capital,target_selectivity,chat_template,declarative,-0.10132275132275133,-0.310775462962963,0.07705687830687816,0.548828125,12
capital,target_selectivity,chat_template,qa,-0.09616402116402116,-0.30558035714285714,0.08173445767195762,0.548828125,12
capital,target_selectivity,chat_template,raw_question,0.029761904761904757,-0.18740079365079365,0.2579365079365079,0.7265625,12
capital,target_selectivity,declarative,qa,0.005158730158730168,-0.01521990740740739,0.02420965608465609,0.453125,12
capital,target_selectivity,declarative,raw_question,0.13108465608465608,-0.06385085978835979,0.3064550264550264,0.548828125,12
capital,target_selectivity,qa,raw_question,0.1259259259259259,-0.06421957671957673,0.29231812169312166,0.548828125,12
currency,target_selectivity,chat_template,declarative,-0.011375661375661377,-0.18998346560846557,0.18893518518518515,0.75390625,12
currency,target_selectivity,chat_template,qa,0.0009259259259259365,-0.0778472222222222,0.10659722222222213,0.625,12
currency,target_selectivity,chat_template,raw_question,-0.15833333333333333,-0.2891666666666666,-0.00826388888888895,0.0703125,12
currency,target_selectivity,declarative,qa,0.012301587301587319,-0.18155092592592587,0.1734589947089947,0.75390625,12
currency,target_selectivity,declarative,raw_question,-0.14695767195767193,-0.3296626984126984,0.04340277777777775,0.2265625,12
currency,target_selectivity,qa,raw_question,-0.15925925925925927,-0.2759722222222222,-0.04888888888888906,0.03125,12
headquarters,target_selectivity,chat_template,declarative,0.1378968253968254,0.007812500000000007,0.2915674603174601,0.021484375,12
headquarters,target_selectivity,chat_template,qa,0.30515873015873013,0.13726686507936506,0.49684523809523806,0.015625,12
headquarters,target_selectivity,chat_template,raw_question,0.08326719576719578,-0.032614087301587276,0.19444775132275133,0.2890625,12
headquarters,target_selectivity,declarative,qa,0.16726190476190475,-0.004460978835978837,0.3443386243386242,0.75390625,12
headquarters,target_selectivity,declarative,raw_question,-0.05462962962962962,-0.19696428571428568,0.06292989417989411,0.453125,12
headquarters,target_selectivity,qa,raw_question,-0.22189153439153433,-0.3835648148148148,-0.04792658730158742,0.1796875,12
official_language,target_selectivity,chat_template,declarative,0.06428571428571428,-0.009002976190476198,0.14761904761904762,1.0,12
official_language,target_selectivity,chat_template,qa,0.04226190476190476,-0.006547619047619052,0.11013392857142855,0.375,12
official_language,target_selectivity,chat_template,raw_question,-0.031018518518518518,-0.11851851851851851,0.041666666666666664,1.0,12
official_language,target_selectivity,declarative,qa,-0.02202380952380953,-0.06967261904761907,0.019047619047619046,1.0,12
official_language,target_selectivity,declarative,raw_question,-0.0953042328042328,-0.21707671957671953,0.0035218253968253856,0.6875,12
official_language,target_selectivity,qa,raw_question,-0.07328042328042328,-0.16259424603174602,0.010127314814814752,0.21875,12
