relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.03412698412698412,-0.3,0.18015873015873018,0.6875,12
birth_place,answer_f1,chat_template,qa,0.013888888888888886,-0.2510416666666666,0.27777777777777773,1.0,12
birth_place,answer_f1,chat_template,raw_question,0.09351851851851851,-0.16215277777777778,0.32226851851851845,0.453125,12
birth_place,answer_f1,declarative,qa,0.048015873015873005,-0.07936507936507937,0.18293650793650792,1.0,12
birth_place,answer_f1,declarative,raw_question,0.12764550264550262,-0.021038359788359797,0.2805853174603174,0.21875,12
birth_place,answer_f1,qa,raw_question,0.07962962962962962,-0.11574074074074074,0.26951388888888883,0.375,12
capital,answer_f1,chat_template,declarative,-0.19212962962962962,-0.44217592592592586,0.06203703703703703,1.0,12
capital,answer_f1,chat_template,qa,-0.16574074074074074,-0.44002314814814814,0.12962962962962962,1.0,12
capital,answer_f1,chat_template,raw_question,-0.07916666666666666,-0.3752083333333333,0.22930555555555543,0.7265625,12
capital,answer_f1,declarative,qa,0.02638888888888888,-0.0837962962962963,0.17141203703703692,0.2890625,12
capital,answer_f1,declarative,raw_question,0.11296296296296293,-0.09004629629629628,0.2849421296296294,0.1796875,12
capital,answer_f1,qa,raw_question,0.0865740740740741,-0.0578935185185185,0.2203703703703704,0.5078125,12
currency,answer_f1,chat_template,declarative,0.15753968253968256,0.054589947089947105,0.2497420634920635,0.109375,12
currency,answer_f1,chat_template,qa,0.0625,-0.0459375,0.16666666666666666,0.375,12
currency,answer_f1,chat_template,raw_question,0.15833333333333335,-0.04187500000000001,0.3420833333333329,0.2890625,12
currency,answer_f1,declarative,qa,-0.09503968253968255,-0.17807374338624338,-0.011479828042328081,0.75390625,12
currency,answer_f1,declarative,raw_question,0.0007936507936507862,-0.13496031746031745,0.13810846560846557,0.75390625,12
currency,answer_f1,qa,raw_question,0.09583333333333337,-0.07093749999999997,0.26666666666666666,0.453125,12
headquarters,answer_f1,chat_template,declarative,-0.07861952861952862,-0.30562500000000004,0.13286195286195268,1.0,12
headquarters,answer_f1,chat_template,qa,-0.037542087542087536,-0.2613194444444444,0.17719591750841746,1.0,12
headquarters,answer_f1,chat_template,raw_question,-0.1396164021164021,-0.37160714285714286,0.06776785714285675,0.6875,12
headquarters,answer_f1,declarative,qa,0.04107744107744109,-0.0034227693602693417,0.08641940235690236,0.75390625,12
headquarters,answer_f1,declarative,raw_question,-0.060996873496873494,-0.18987944925444927,0.03606977513227511,1.0,12
headquarters,answer_f1,qa,raw_question,-0.1020743145743146,-0.23542733886483885,-0.007388768638768688,1.0,12
official_language,answer_f1,chat_template,declarative,-0.21666666666666667,-0.5,0.049999999999999996,1.0,12
official_language,answer_f1,chat_template,qa,-0.20000000000000004,-0.48333333333333334,0.03333333333333333,1.0,12
official_language,answer_f1,chat_template,raw_question,0.08888888888888886,-0.16666666666666666,0.3111111111111111,0.7265625,12
official_language,answer_f1,declarative,qa,0.016666666666666666,-0.03333333333333333,0.06666666666666667,1.0,12
official_language,answer_f1,declarative,raw_question,0.3055555555555556,0.14972222222222223,0.44722222222222224,0.0390625,12
official_language,answer_f1,qa,raw_question,0.2888888888888889,0.1638888888888889,0.4138888888888889,0.0078125,12
