position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation,model_name,model_variant
subject,0,0.976709805511766,0.8236371227286079,0.7955009969213683,0.1530726827831581,0.0013760030269622,gemma_270m_base,base
subject,1,0.998522995909055,0.9929367912538124,0.9915837010187616,0.0055862046552426,0.0001341799894968,gemma_270m_base,base
subject,2,0.996992237203651,0.9832360381542732,0.9807800590810885,0.0137561990493777,0.0002816518147786,gemma_270m_base,base
subject,3,0.9983266277445688,0.9147890335795554,0.9102187084706708,0.0835375941650132,0.0001715918382008,gemma_270m_base,base
subject,4,0.9973424065444204,0.9123789779503236,0.9005193608683637,0.0849634285940966,0.0006791353225708,gemma_270m_base,base
subject,5,0.9989078539941046,0.967803480803515,0.9642957736970856,0.0311043731905896,0.0001414318879445,gemma_270m_base,base
subject,6,0.9982368608315786,0.9693011103705926,0.962992347130138,0.0289357504609859,0.0002859532833099,gemma_270m_base,base
subject,7,0.9985516581270428,0.9815706748854032,0.9778681255359616,0.0169809832416398,0.0004401803016662,gemma_270m_base,base
subject,8,0.998223258720504,0.9856634198716192,0.9819767696989908,0.0125598388488846,0.000641256570816,gemma_270m_base,base
subject,9,0.9982723906636238,0.9875389605309024,0.9825228053998823,0.0107334301327214,0.0007512072722117,gemma_270m_base,base
subject,10,0.9980000908176104,0.9897556482278036,0.9841999096149164,0.0082444425898068,0.000919222831726,gemma_270m_base,base
subject,11,0.9911898511979316,0.9581143719228832,0.940454649604443,0.0330754792750483,0.005898763736089,gemma_270m_base,base
subject,12,0.9896113947033882,0.8943359861771266,0.8696265358063909,0.0952754085262616,0.00560063123703,gemma_270m_base,base
subject,13,0.991155106988218,0.9291356752880596,0.9111510957099704,0.0620194317001585,0.0041971405347188,gemma_270m_base,base
subject,14,0.9847868776983684,0.9184298181172572,0.8966598800668079,0.0663570595811111,0.0078242818514506,gemma_270m_base,base
subject,15,0.9834587913420464,0.9003386123839653,0.8710456555450542,0.0831201789580812,0.0081929465134938,gemma_270m_base,base
subject,16,0.9863457906577322,0.9326990567373508,0.9126984398449874,0.0536467339203815,0.0070986549059549,gemma_270m_base,base
subject,17,0.9168118226859304,0.6027001274485057,0.4699865406782335,0.3141116952374247,0.0768897930781046,gemma_270m_base,base
preanswer,0,0.8736410879426533,0.9051087267245308,0.9027801791982104,-0.0314676387818774,0.1201670467853546,gemma_270m_base,base
preanswer,1,0.9846419675482644,0.988411893221465,0.9876746486587864,-0.0037699256732006,0.0130825142065684,gemma_270m_base,base
preanswer,2,0.9754706664217844,0.9815287496104383,0.9801964877069824,-0.0060580831886541,0.0203595161437988,gemma_270m_base,base
preanswer,3,0.9292537732256784,0.946889367846377,0.9425232624014218,-0.0176355946206986,0.0582019686698913,gemma_270m_base,base
preanswer,4,0.9385953209466404,0.9537605899188556,0.9514362459355552,-0.015165268972215,0.0534508029619852,gemma_270m_base,base
preanswer,5,0.9556951291031308,0.9666415485130117,0.9642130703070304,-0.0109464194098807,0.0379940271377563,gemma_270m_base,base
preanswer,6,0.9642562510238754,0.9729929396148884,0.9704820406959496,-0.008736688591013,0.0285001397132873,gemma_270m_base,base
preanswer,7,0.9810520711872311,0.9855654943169968,0.9841654354137264,-0.0045134231297656,0.0155272781848907,gemma_270m_base,base
preanswer,8,0.9798416558239196,0.9846834517563834,0.9832606800029882,-0.0048417959324639,0.0169053673744201,gemma_270m_base,base
preanswer,9,0.9758747705154948,0.9816242364658552,0.9794000524432502,-0.0057494659503601,0.020134150981903,gemma_270m_base,base
preanswer,10,0.9823190222183864,0.986236281636538,0.9820399779127912,-0.0039172594181516,0.0135060846805572,gemma_270m_base,base
preanswer,11,0.9510842104752858,0.9615356025144908,0.9461863795295358,-0.010451392039205,0.0360635618368784,gemma_270m_base,base
