fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth,model_name,model_variant
birth_place:0,birth_place,preanswer,0.0053238519075442,0.0896826632546656,12,gemma_270m_base,base
birth_place:0,birth_place,subject,0.0533950729907085,0.204131037109729,0,gemma_270m_base,base
birth_place:1,birth_place,preanswer,0.0075584724890413,0.0994896202376394,12,gemma_270m_base,base
birth_place:1,birth_place,subject,0.0748675586514626,0.388053806978419,3,gemma_270m_base,base
birth_place:10,birth_place,preanswer,0.0094839139944977,0.104583334855058,12,gemma_270m_base,base
birth_place:10,birth_place,subject,0.0907600885946993,0.3942182043736632,0,gemma_270m_base,base
birth_place:11,birth_place,preanswer,0.0080883734097534,0.1133538501506502,12,gemma_270m_base,base
birth_place:11,birth_place,subject,0.0851155140763305,0.3442295051151605,0,gemma_270m_base,base
birth_place:2,birth_place,preanswer,0.0080578957656116,0.0975772742972229,12,gemma_270m_base,base
birth_place:2,birth_place,subject,0.0909437730513287,0.374024543516112,0,gemma_270m_base,base
birth_place:3,birth_place,preanswer,0.0113820944182098,0.1188502590538876,12,gemma_270m_base,base
birth_place:3,birth_place,subject,0.0969635250732014,0.4544717312338903,0,gemma_270m_base,base
birth_place:4,birth_place,preanswer,0.0097130871368478,0.1107791766072765,12,gemma_270m_base,base
birth_place:4,birth_place,subject,0.0916907300314981,0.4079217322198956,0,gemma_270m_base,base
birth_place:5,birth_place,preanswer,0.0050965420249536,0.0884598665165179,12,gemma_270m_base,base
birth_place:5,birth_place,subject,0.0762493538330011,0.3482233817745565,0,gemma_270m_base,base
birth_place:6,birth_place,preanswer,0.0087340179492126,0.1221492852676998,12,gemma_270m_base,base
birth_place:6,birth_place,subject,0.0859313364115603,0.3630012335594405,0,gemma_270m_base,base
birth_place:7,birth_place,preanswer,0.014606498542433,0.127167002269716,12,gemma_270m_base,base
birth_place:7,birth_place,subject,0.0898759737877357,0.4237638555297797,0,gemma_270m_base,base
birth_place:8,birth_place,preanswer,0.0074298236023647,0.1031649006587086,12,gemma_270m_base,base
birth_place:8,birth_place,subject,0.0628303644217563,0.3376368453415731,3,gemma_270m_base,base
birth_place:9,birth_place,preanswer,0.0073376364240843,0.0960669085157639,12,gemma_270m_base,base
birth_place:9,birth_place,subject,0.1122519266650532,0.7317388194584937,3,gemma_270m_base,base
capital:0,capital,preanswer,0.0163520967543928,0.1449730105020783,12,gemma_270m_base,base
capital:0,capital,subject,0.0486602658650489,0.2178365959588325,0,gemma_270m_base,base
capital:1,capital,preanswer,0.0149930297939564,0.1422839921080704,12,gemma_270m_base,base
capital:1,capital,subject,0.0463589945265565,0.2024876244196837,0,gemma_270m_base,base
capital:10,capital,preanswer,0.0165005738687033,0.1362721853409751,12,gemma_270m_base,base
capital:10,capital,subject,0.0534088015470101,0.2430107934597992,0,gemma_270m_base,base
capital:11,capital,preanswer,0.0163809290243569,0.1551374526637973,12,gemma_270m_base,base
capital:11,capital,subject,0.0534706253069217,0.2371895242143761,0,gemma_270m_base,base
capital:2,capital,preanswer,0.0137627954823701,0.1400915623614282,12,gemma_270m_base,base
capital:2,capital,subject,0.0452834745941163,0.2003022398178776,0,gemma_270m_base,base
capital:3,capital,preanswer,0.0153720521176804,0.1409779220367923,12,gemma_270m_base,base
capital:3,capital,subject,0.0600736014990242,0.2775276926995227,0,gemma_270m_base,base
capital:4,capital,preanswer,0.0157605343551597,0.1563848599114201,12,gemma_270m_base,base
capital:4,capital,subject,0.049090411107962,0.2134895668167508,0,gemma_270m_base,base
capital:5,capital,preanswer,0.0116364170988451,0.1240669360215013,12,gemma_270m_base,base
