model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
gemma_270m_base,capital,raw_question,invariant,capital:9,0.0,0.0,0.0,0.0,0.0,0.0,19,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:9,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:9,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,chat_template,invariant,capital:9,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,8,23,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
gemma_270m_base,capital,raw_question,invariant,capital:10,0.0,0.6666666666666666,-0.6666666666666666,0.0,1.0,-1.0,11,13,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:10,0.2222222222222222,0.19999999999999998,0.022222222222222227,1.0,1.0,0.0,1,1,0.2222222222222222,0.19999999999999998,0.022222222222222227,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:10,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,chat_template,invariant,capital:10,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,6,9,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
gemma_270m_base,capital,raw_question,invariant,capital:11,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,31,35,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:11,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:11,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
