relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0
birth_place,declarative,0.0816326530612245,0.0816326530612245,0.0,0.0,0.0,0.0
birth_place,qa,0.10317460317460317,0.08531746031746032,0.0,0.017857142857142856,0.0,0.017857142857142856
birth_place,raw_question,0.047619047619047616,0.031746031746031744,0.0,0.015873015873015872,0.0,0.015873015873015872
capital,chat_template,0.6904761904761905,0.6904761904761905,0.0,0.0,0.0,0.0
capital,declarative,0.1197948876520305,0.1197948876520305,0.0,0.0,0.0,0.0
capital,qa,0.21524943310657596,0.21524943310657596,0.0,0.0,0.0,0.0
capital,raw_question,0.36666666666666664,0.36666666666666664,0.0,0.0,0.0,0.0
currency,chat_template,0.34557823129251697,0.34557823129251697,0.0,0.0,0.0,0.0
currency,declarative,0.27586580086580087,0.27586580086580087,0.0,0.0,0.0,0.0
currency,qa,0.33997113997114,0.33997113997114,0.0,0.0,0.0,0.0
currency,raw_question,0.3378787878787879,0.3378787878787879,0.0,0.0,0.0,0.0
headquarters,chat_template,0.5714285714285714,0.27380952380952384,0.0,0.2976190476190476,0.2619047619047619,0.2976190476190476
headquarters,declarative,0.24522778808493093,0.10994640280354565,0.0,0.13528138528138528,0.13528138528138528,0.13528138528138528
headquarters,qa,0.2502164502164502,0.20995670995670995,0.0,0.040259740259740266,0.040259740259740266,0.040259740259740266
headquarters,raw_question,0.20853947639661927,0.17877757163471447,0.0,0.02976190476190476,0.02976190476190476,0.02976190476190476
official_language,chat_template,0.34523809523809523,0.13095238095238096,0.0,0.0,0.21428571428571427,0.21428571428571427
official_language,declarative,0.22551020408163264,0.17653061224489797,0.0,0.0,0.048979591836734684,0.048979591836734684
official_language,qa,0.13888888888888887,0.09087301587301587,0.0,0.0,0.04801587301587301,0.04801587301587301
official_language,raw_question,0.10674603174603174,0.07817460317460316,0.0,0.0,0.02857142857142857,0.02857142857142857
