fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth,split_eval,analysis_variant,model_name,model_variant
birth_place:0,birth_place,preanswer,0.0051146560594082,0.087957664593762,12,all,all_families,gemma_270m_base,base
birth_place:0,birth_place,subject,0.0507701183304044,0.1929399915879555,0,all,all_families,gemma_270m_base,base
birth_place:1,birth_place,preanswer,0.0075876892611287,0.1046841072247308,12,all,all_families,gemma_270m_base,base
birth_place:1,birth_place,subject,0.0853967541171347,0.3805003168755302,0,all,all_families,gemma_270m_base,base
birth_place:10,birth_place,preanswer,0.0141412765173188,0.1245683080279359,12,all,all_families,gemma_270m_base,base
birth_place:10,birth_place,subject,0.0856041027149814,0.4069404995945447,0,all,all_families,gemma_270m_base,base
birth_place:11,birth_place,preanswer,0.0091105110492873,0.1132718347305176,12,all,all_families,gemma_270m_base,base
birth_place:11,birth_place,subject,0.0821423738609496,0.3700987292983222,0,all,all_families,gemma_270m_base,base
birth_place:12,birth_place,preanswer,0.005279017687412,0.0858659560919976,12,all,all_families,gemma_270m_base,base
birth_place:12,birth_place,subject,0.0585029809898037,0.2945662621116521,3,all,all_families,gemma_270m_base,base
birth_place:13,birth_place,preanswer,0.0110296113355681,0.1158799924979023,12,all,all_families,gemma_270m_base,base
birth_place:13,birth_place,subject,0.0923327675836428,0.3838828977279584,0,all,all_families,gemma_270m_base,base
birth_place:14,birth_place,preanswer,0.0067901541955752,0.1006553115359708,12,all,all_families,gemma_270m_base,base
birth_place:14,birth_place,subject,0.0597054616194056,0.316085675667387,3,all,all_families,gemma_270m_base,base
birth_place:15,birth_place,preanswer,0.0067949204995806,0.0918205267220151,12,all,all_families,gemma_270m_base,base
birth_place:15,birth_place,subject,0.111553155714372,0.7264836250265658,3,all,all_families,gemma_270m_base,base
birth_place:16,birth_place,preanswer,0.0087498681120623,0.1013290509581565,12,all,all_families,gemma_270m_base,base
birth_place:16,birth_place,subject,0.0876615875195671,0.3804688954397159,0,all,all_families,gemma_270m_base,base
birth_place:17,birth_place,preanswer,0.0082757057366417,0.1153558790683746,12,all,all_families,gemma_270m_base,base
birth_place:17,birth_place,subject,0.0819407474819757,0.3290968590836023,0,all,all_families,gemma_270m_base,base
birth_place:2,birth_place,preanswer,0.0071230254243564,0.0985706618019178,12,all,all_families,gemma_270m_base,base
birth_place:2,birth_place,subject,0.0726373992431178,0.3764414887911841,3,all,all_families,gemma_270m_base,base
birth_place:3,birth_place,preanswer,0.004762213044112,0.0843011129866627,12,all,all_families,gemma_270m_base,base
birth_place:3,birth_place,subject,0.0484710350614406,0.1750884125301358,0,all,all_families,gemma_270m_base,base
birth_place:4,birth_place,preanswer,0.007507589907428,0.095742772022883,12,all,all_families,gemma_270m_base,base
birth_place:4,birth_place,subject,0.0871440258327555,0.353560860944437,0,all,all_families,gemma_270m_base,base
birth_place:5,birth_place,preanswer,0.0104507112019332,0.1142593953831522,12,all,all_families,gemma_270m_base,base
birth_place:5,birth_place,subject,0.0941309316356692,0.4347086194993965,0,all,all_families,gemma_270m_base,base
birth_place:6,birth_place,preanswer,0.0095097617264471,0.1109366089689966,12,all,all_families,gemma_270m_base,base
birth_place:6,birth_place,subject,0.0895387045648517,0.3982368110423432,0,all,all_families,gemma_270m_base,base
birth_place:7,birth_place,preanswer,0.0053431802512448,0.0907081833803186,12,all,all_families,gemma_270m_base,base
birth_place:7,birth_place,subject,0.0730657529157904,0.3346397442396219,0,all,all_families,gemma_270m_base,base
birth_place:8,birth_place,preanswer,0.0084116986804603,0.1046331090962185,12,all,all_families,gemma_270m_base,base
birth_place:8,birth_place,subject,0.0860702028251527,0.365585914009488,0,all,all_families,gemma_270m_base,base
birth_place:9,birth_place,preanswer,0.0086664391827641,0.1230229314635781,12,all,all_families,gemma_270m_base,base
birth_place:9,birth_place,subject,0.083723095908136,0.3477604594629477,0,all,all_families,gemma_270m_base,base
capital:0,capital,preanswer,0.0170662798056448,0.150304189280552,12,all,all_families,gemma_270m_base,base
