relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.5,0.0,1.0,4
birth_place,chat_template,contains_expected,0.75,0.25,1.0,4
birth_place,chat_template,answer_f1,0.6666666666666666,0.20625,1.0,4
birth_place,chat_template,answer_similarity,0.65,0.1975,1.0,4
birth_place,declarative,full_exact_match,0.0,0.0,0.0,4
birth_place,declarative,contains_expected,0.0,0.0,0.0,4
birth_place,declarative,answer_f1,0.05,0.0,0.15000000000000002,4
birth_place,declarative,answer_similarity,0.20213015892529074,0.1641753744339951,0.23101604278074864,4
birth_place,qa,full_exact_match,0.0,0.0,0.0,4
birth_place,qa,contains_expected,0.0,0.0,0.0,4
birth_place,qa,answer_f1,0.0,0.0,0.0,4
birth_place,qa,answer_similarity,0.0,0.0,0.0,4
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,4
birth_place,raw_question,contains_expected,0.0,0.0,0.0,4
birth_place,raw_question,answer_f1,0.0,0.0,0.0,4
birth_place,raw_question,answer_similarity,0.0,0.0,0.0,4
capital,chat_template,full_exact_match,0.25,0.0,0.75,4
capital,chat_template,contains_expected,0.25,0.0,0.75,4
capital,chat_template,answer_f1,0.41666666666666663,0.0,0.8333333333333333,4
capital,chat_template,answer_similarity,0.7643713813068652,0.36693548387096775,0.9838709677419355,4
capital,declarative,full_exact_match,0.0,0.0,0.0,4
capital,declarative,contains_expected,0.5,0.0,0.75,4
capital,declarative,answer_f1,0.11805555555555555,0.0,0.1875,4
capital,declarative,answer_similarity,0.2978026169101684,0.2269469870327994,0.4128205128205128,4
capital,qa,full_exact_match,0.0,0.0,0.0,4
capital,qa,contains_expected,0.0,0.0,0.0,4
capital,qa,answer_f1,0.0,0.0,0.0,4
capital,qa,answer_similarity,0.0,0.0,0.0,4
capital,raw_question,full_exact_match,0.0,0.0,0.0,4
capital,raw_question,contains_expected,0.0,0.0,0.0,4
capital,raw_question,answer_f1,0.0,0.0,0.0,4
capital,raw_question,answer_similarity,0.0,0.0,0.0,4
currency,chat_template,full_exact_match,0.0,0.0,0.0,4
currency,chat_template,contains_expected,0.0,0.0,0.0,4
currency,chat_template,answer_f1,0.20535714285714288,0.0625,0.27678571428571436,4
currency,chat_template,answer_similarity,0.40895658263305323,0.18907563025210083,0.528889705882353,4
currency,declarative,full_exact_match,0.0,0.0,0.0,4
currency,declarative,contains_expected,0.25,0.0,0.75,4
currency,declarative,answer_f1,0.18055555555555555,0.05555555555555556,0.25,4
currency,declarative,answer_similarity,0.25312854463027645,0.19635306553911205,0.3412880966072456,4
currency,qa,full_exact_match,0.0,0.0,0.0,4
currency,qa,contains_expected,0.0,0.0,0.0,4
currency,qa,answer_f1,0.0,0.0,0.0,4
currency,qa,answer_similarity,0.0,0.0,0.0,4
currency,raw_question,full_exact_match,0.0,0.0,0.0,4
currency,raw_question,contains_expected,0.0,0.0,0.0,4
currency,raw_question,answer_f1,0.0,0.0,0.0,4
currency,raw_question,answer_similarity,0.0,0.0,0.0,4
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,4
headquarters,chat_template,contains_expected,0.75,0.25,1.0,4
headquarters,chat_template,answer_f1,0.3464285714285714,0.10535714285714286,0.5631249999999998,4
headquarters,chat_template,answer_similarity,0.42159624413145536,0.2426190476190476,0.6019114688128772,4
headquarters,declarative,full_exact_match,0.0,0.0,0.0,4
headquarters,declarative,contains_expected,0.75,0.25,1.0,4
headquarters,declarative,answer_f1,0.6732142857142858,0.5714285714285715,0.775,4
headquarters,declarative,answer_similarity,0.7932192300912555,0.6541614123581336,0.885752688172043,4
headquarters,qa,full_exact_match,0.0,0.0,0.0,4
headquarters,qa,contains_expected,0.0,0.0,0.0,4
headquarters,qa,answer_f1,0.0,0.0,0.0,4
headquarters,qa,answer_similarity,0.0,0.0,0.0,4
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,4
headquarters,raw_question,contains_expected,0.0,0.0,0.0,4
headquarters,raw_question,answer_f1,0.0,0.0,0.0,4
headquarters,raw_question,answer_similarity,0.0,0.0,0.0,4
official_language,chat_template,full_exact_match,0.0,0.0,0.0,4
official_language,chat_template,contains_expected,0.25,0.0,0.75,4
official_language,chat_template,answer_f1,0.08333333333333334,0.0,0.25,4
official_language,chat_template,answer_similarity,0.2247183113395452,0.16329151031894934,0.28291316526610644,4
official_language,declarative,full_exact_match,0.0,0.0,0.0,4
official_language,declarative,contains_expected,0.25,0.0,0.75,4
official_language,declarative,answer_f1,0.0625,0.0,0.1875,4
official_language,declarative,answer_similarity,0.21306621298181688,0.165610599078341,0.24962490622655664,4
official_language,qa,full_exact_match,0.0,0.0,0.0,4
official_language,qa,contains_expected,0.0,0.0,0.0,4
official_language,qa,answer_f1,0.0,0.0,0.0,4
official_language,qa,answer_similarity,0.0,0.0,0.0,4
official_language,raw_question,full_exact_match,0.0,0.0,0.0,4
official_language,raw_question,contains_expected,0.0,0.0,0.0,4
official_language,raw_question,answer_f1,0.0,0.0,0.0,4
official_language,raw_question,answer_similarity,0.07777777777777778,0.0,0.23333333333333334,4
