relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,2485.25,-13.73876953125,0.5,0.75,0.6666666666666666,0.65
birth_place,declarative,19.0,-2.078125,0.0,0.0,0.05,0.20213015892529076
birth_place,qa,997.5,-9.8125,0.0,0.0,0.0,0.0
birth_place,raw_question,986.0,-11.65625,0.0,0.0,0.0,0.0
capital,chat_template,151.0,-6.046875,0.25,0.25,0.41666666666666663,0.7643713813068652
capital,declarative,4.0,2.71875,0.0,0.5,0.11805555555555555,0.2978026169101684
capital,qa,262.75,-9.734375,0.0,0.0,0.0,0.0
capital,raw_question,9182.5,-14.19140625,0.0,0.0,0.0,0.0
currency,chat_template,307.0,-8.51171875,0.0,0.0,0.20535714285714288,0.40895658263305323
currency,declarative,23.25,-5.8125,0.0,0.25,0.18055555555555555,0.25312854463027645
currency,qa,1767.25,-11.6484375,0.0,0.0,0.0,0.0
currency,raw_question,10232.25,-17.96826171875,0.0,0.0,0.0,0.0
headquarters,chat_template,4051.75,-12.5634765625,0.0,0.75,0.3464285714285714,0.42159624413145536
headquarters,declarative,1.0,1.390625,0.0,0.75,0.6732142857142858,0.7932192300912555
headquarters,qa,701.25,-10.4921875,0.0,0.0,0.0,0.0
headquarters,raw_question,1697.5,-13.36328125,0.0,0.0,0.0,0.0
official_language,chat_template,144.75,-6.546875,0.0,0.25,0.08333333333333334,0.2247183113395452
official_language,declarative,1.5,1.078125,0.0,0.25,0.0625,0.21306621298181688
official_language,qa,499.0,-10.578125,0.0,0.0,0.0,0.0
official_language,raw_question,4289.75,-14.8837890625,0.0,0.0,0.0,0.07777777777777778
