fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap
capital:0,capital,subject,0,0.5787353068590164,0.5677434263158251,0.010991880543191335
capital:0,capital,subject,1,0.76503653327624,0.7135207248343662,0.051515808441873756
capital:0,capital,subject,2,0.6959005445241928,0.6540488503577019,0.04185169416649093
capital:0,capital,subject,3,0.7073303361733755,0.6787614302540367,0.028568905919338805
capital:0,capital,subject,4,0.7092399100462595,0.689227147874507,0.02001276217175252
capital:0,capital,subject,5,0.6816056917111079,0.6655618167397651,0.016043874971342742
capital:0,capital,subject,6,0.683094933629036,0.6630705854093487,0.020024348219687238
capital:0,capital,subject,7,0.7029799818992615,0.688131197525019,0.01484878437424253
capital:0,capital,subject,8,0.7320361832777659,0.7073353490030224,0.024700834274743455
capital:0,capital,subject,9,0.7587890625,0.7399390673434193,0.0188499951565807
capital:0,capital,subject,10,0.7676313320795695,0.745830286802216,0.021801045277353492
capital:0,capital,subject,11,0.7490385671456655,0.7351814223961397,0.013857144749525818
capital:0,capital,subject,12,0.767321934302648,0.7539164312183857,0.013405503084262249
capital:0,capital,subject,13,0.7768500943978628,0.7690902513197877,0.0077598430780750904
capital:0,capital,subject,14,0.7393315633138021,0.7435519422658465,-0.004220378952044412
capital:0,capital,subject,15,0.7001401831706365,0.7083582635968924,-0.008218080426255825
capital:0,capital,subject,16,0.6987934658924738,0.7138761356472969,-0.015082669754823086
capital:0,capital,subject,17,0.693645695845286,0.7164753592488441,-0.022829663403558076
capital:0,capital,subject,18,0.6846540669600168,0.7175844011997635,-0.03293033423974667
capital:0,capital,subject,19,0.639009490609169,0.6922343283553015,-0.053224837746132514
capital:0,capital,subject,20,0.6552752206722895,0.706316926093264,-0.051041705420974526
capital:0,capital,subject,21,0.7127734422683716,0.731317713348703,-0.01854427108033141
capital:0,capital,subject,22,0.7224224309126536,0.7465598075227304,-0.024137376610076866
capital:0,capital,subject,23,0.4131887728969256,0.49903591599484737,-0.08584714309792174
capital:0,capital,preanswer,0,0.4094320336977641,0.5535812731832266,-0.1441492394854625
capital:0,capital,preanswer,1,0.6368467013041178,0.7256262573328885,-0.08877955602877075
capital:0,capital,preanswer,2,0.47435052196184796,0.602812110023065,-0.12846158806121705
capital:0,capital,preanswer,3,0.49796517690022785,0.6202563494443893,-0.1222911725441615
capital:0,capital,preanswer,4,0.5071578373511633,0.6266558480195024,-0.1194980106683391
capital:0,capital,preanswer,5,0.5119930605093638,0.6281316732479767,-0.11613861273861292
capital:0,capital,preanswer,6,0.5353165169556936,0.6509813910180872,-0.11566487406239356
capital:0,capital,preanswer,7,0.5599393596251806,0.6721991099078547,-0.1122597502826741
capital:0,capital,preanswer,8,0.5724488645792007,0.6765941537239335,-0.10414528914473276
capital:0,capital,preanswer,9,0.6233170429865519,0.714099626310847,-0.09078258332429512
capital:0,capital,preanswer,10,0.6114882926146189,0.7026850193400275,-0.09119672672540857
capital:0,capital,preanswer,11,0.6109290371338526,0.7053185885941441,-0.09438955146029149
capital:0,capital,preanswer,12,0.6220668405294418,0.7122726812958717,-0.0902058407664299
capital:0,capital,preanswer,13,0.6288400193055471,0.719841704280539,-0.09100168497499184
capital:0,capital,preanswer,14,0.6790644427140554,0.7551851567219604,-0.07612071400790499
capital:0,capital,preanswer,15,0.6621467073758444,0.7435829676687717,-0.08143626029292739
capital:0,capital,preanswer,16,0.7065081497033437,0.7769077159464359,-0.07039956624309218
capital:0,capital,preanswer,17,0.750597725311915,0.7981074340641499,-0.047509708752234814
capital:0,capital,preanswer,18,0.7700978219509125,0.8203251087530092,-0.05022728680209676
capital:0,capital,preanswer,19,0.740378757317861,0.7963868785988201,-0.05600812128095911
capital:0,capital,preanswer,20,0.7255326012770335,0.7437575493346561,-0.018224948057622647
capital:0,capital,preanswer,21,0.716654767592748,0.5702335585586049,0.14642120903414313
capital:0,capital,preanswer,22,0.715749184290568,0.5793059825558554,0.13644320173471258
