fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth
birth_place:0,birth_place,preanswer,-0.09078571072683245,0.07778856717050076,20
birth_place:0,birth_place,subject,0.3241033819804524,0.856748503909409,0
birth_place:1,birth_place,preanswer,-0.07756846105232142,0.10387149803114659,20
birth_place:1,birth_place,subject,0.3108358314526009,0.7859125964653989,0
birth_place:10,birth_place,preanswer,-0.08807795045212093,0.07061399530732271,20
birth_place:10,birth_place,subject,0.3301533807635412,0.8568941678262711,0
birth_place:11,birth_place,preanswer,-0.08117539851785967,0.07927203567867924,20
birth_place:11,birth_place,subject,0.29047467479927597,0.8497297724502011,0
birth_place:2,birth_place,preanswer,-0.08460561263523737,0.08249187503348698,20
birth_place:2,birth_place,subject,0.32020631713546915,0.8540441028802006,0
birth_place:3,birth_place,preanswer,-0.07772327664016955,0.10853824499204312,20
birth_place:3,birth_place,subject,0.30510806240114346,0.7906867780398126,0
birth_place:4,birth_place,preanswer,-0.08431396434368732,0.08682335309232725,20
birth_place:4,birth_place,subject,0.31442314561189216,0.8329376952324035,0
birth_place:5,birth_place,preanswer,-0.08345295112201027,0.08824708724789554,20
birth_place:5,birth_place,subject,0.2893564612574269,0.8144740764676526,0
birth_place:6,birth_place,preanswer,-0.07803513506912692,0.1160775587865801,20
birth_place:6,birth_place,subject,0.3052229133888496,0.7741217586832742,0
birth_place:7,birth_place,preanswer,-0.07580414081268018,0.12102779209839576,20
birth_place:7,birth_place,subject,0.3837034903375054,0.8760521836070851,0
birth_place:8,birth_place,preanswer,-0.0844476500435725,0.08164326474070549,20
birth_place:8,birth_place,subject,0.2942674907700175,0.8014826464967689,0
birth_place:9,birth_place,preanswer,-0.09772472678017985,0.07869956512568577,21
birth_place:9,birth_place,subject,0.29867021821620354,0.8466704768608466,0
capital:0,capital,preanswer,-0.06329528961318966,0.14642120903414313,21
capital:0,capital,subject,-0.0004935015126418529,0.051515808441873756,0
capital:1,capital,preanswer,-0.07096498714097643,0.08510392746238993,21
capital:1,capital,subject,-0.0032302993265947177,0.04912907226632035,0
capital:10,capital,preanswer,-0.06534571679668545,0.14068580616378423,21
capital:10,capital,subject,-0.004954167695056339,0.04984269378650363,0
capital:11,capital,preanswer,-0.04551219410481135,0.24189680318037665,20
capital:11,capital,subject,0.0012309590852560767,0.048857275368363595,0
capital:2,capital,preanswer,-0.06102656877658894,0.15443878824060608,21
capital:2,capital,subject,-0.003197535651975852,0.04671774155488517,0
capital:3,capital,preanswer,-0.059917548101219555,0.14074181567764643,20
capital:3,capital,subject,0.5805612081556576,0.9381903122870647,0
capital:4,capital,preanswer,-0.055248528687455965,0.163803625738982,21
capital:4,capital,subject,0.0004727598603090378,0.05152886270573642,0
capital:5,capital,preanswer,-0.054674904286070046,0.20297104718558723,20
capital:5,capital,subject,0.5170032948642413,0.9065416748847135,0
capital:6,capital,preanswer,-0.05312197610512176,0.1969383682378314,20
capital:6,capital,subject,0.003510054338763407,0.05129933695901523,0
capital:7,capital,preanswer,-0.061582936566833946,0.1546044468766813,21
capital:7,capital,subject,-0.004420650560400609,0.049788444331198,0
capital:8,capital,preanswer,-0.051429279938993856,0.20107409911173757,20
capital:8,capital,subject,0.004167429574252572,0.0464404437013648,0
capital:9,capital,preanswer,-0.05591615602841354,0.1952703775217136,20
capital:9,capital,subject,-0.0007288557198898149,0.04780643862305267,0
currency:0,currency,preanswer,-0.07623579620867714,0.0409102885786331,21
currency:0,currency,subject,-0.006872512985166686,0.05132484924273961,0
currency:1,currency,preanswer,-0.07431642670496211,0.041727147601319015,21
currency:1,currency,subject,-0.008288911844379106,0.049256670599182484,0
currency:10,currency,preanswer,-0.07591867788246326,0.04101056791841984,21
currency:10,currency,subject,-0.010096293567171828,0.05017216193179286,0
currency:11,currency,preanswer,-0.06893517141825307,0.06836844162281708,20
currency:11,currency,subject,-0.0017222464381543036,0.0497559478337114,0
currency:2,currency,preanswer,-0.07285090918244573,0.052148165011947856,21
currency:2,currency,subject,-0.005990423318416091,0.04753251052038232,0
currency:3,currency,preanswer,-0.07901552384813777,0.046365464670640066,21
currency:3,currency,subject,0.5541892088921753,0.9353378912836143,0
currency:4,currency,preanswer,-0.0713563407622463,0.045996582925771134,21
currency:4,currency,subject,-0.003375317229632975,0.05304202872018016,0
currency:5,currency,preanswer,-0.06775174825354774,0.05964739152202103,21
currency:5,currency,subject,0.5130763309875461,0.9076549215947813,0
currency:6,currency,preanswer,-0.06971196982744181,0.06544060135881102,21
currency:6,currency,subject,-0.0012874301538257037,0.05151943080691679,0
currency:7,currency,preanswer,-0.0757586825538322,0.033323164690624574,21
currency:7,currency,subject,-0.008160395034461865,0.05005337433381518,0
currency:8,currency,preanswer,-0.06854151316230116,0.07112254478940461,21
currency:8,currency,subject,-0.0018344490122722754,0.04621847639932786,0
currency:9,currency,preanswer,-0.07104801677870097,0.06187059340829204,21
currency:9,currency,subject,-0.0060855040990811056,0.047367233387900054,0
headquarters:0,headquarters,preanswer,-0.0938328826341236,0.039789825000546175,21
headquarters:0,headquarters,subject,-0.0747706162357571,-0.04655043148633198,-1
headquarters:1,headquarters,preanswer,-0.08726712467514885,0.050299477848139706,21
headquarters:1,headquarters,subject,-0.07231949583975351,-0.04501857879486948,-1
headquarters:10,headquarters,preanswer,-0.08887723811497868,0.05100949864947435,21
headquarters:10,headquarters,subject,-0.07440760087326517,-0.04502793841741304,-1
headquarters:11,headquarters,preanswer,-0.08589689114740744,0.0694536372567669,21
headquarters:11,headquarters,subject,-0.07365289569133893,-0.04065455778530147,-1
headquarters:2,headquarters,preanswer,-0.08913131964135289,0.049602909295847875,21
headquarters:2,headquarters,subject,-0.07173855677029504,-0.03822991771228379,-1
headquarters:3,headquarters,preanswer,-0.09096214134934606,0.049380586567250195,21
headquarters:3,headquarters,subject,-0.07533820614781973,-0.04519386702414707,-1
headquarters:4,headquarters,preanswer,-0.0912590479100515,0.04606674566413416,21
headquarters:4,headquarters,subject,-0.0712125297268909,-0.03775811161507259,-1
headquarters:5,headquarters,preanswer,-0.09014798366704303,0.06089906518658006,21
headquarters:5,headquarters,subject,-0.07587857376884038,-0.04879962077194999,-1
headquarters:6,headquarters,preanswer,-0.09057295304108891,0.06094730430931761,21
headquarters:6,headquarters,subject,-0.07160218092883382,-0.039307259023189545,-1
headquarters:7,headquarters,preanswer,-0.08719371479265885,0.060890724713152156,21
headquarters:7,headquarters,subject,-0.0669948139023318,-0.038324791825178894,-1
headquarters:8,headquarters,preanswer,-0.08816903145412935,0.06147196369640762,21
headquarters:8,headquarters,subject,-0.07646307420759282,-0.04732241120302316,-1
headquarters:9,headquarters,preanswer,-0.09167274113118618,0.05181512281750189,21
headquarters:9,headquarters,subject,-0.0750579817750905,-0.037490456280383166,-1
official_language:0,official_language,preanswer,-0.07858988340512492,0.0387057187882337,21
official_language:0,official_language,subject,-0.004798466179195338,0.055227937289711204,0
official_language:1,official_language,preanswer,-0.07650427587831278,0.03981757931637042,21
official_language:1,official_language,subject,-0.006835426918273285,0.05215674285974459,0
official_language:10,official_language,preanswer,-0.08357815979916544,0.027488154782490337,21
official_language:10,official_language,subject,-0.007153409519826637,0.053333498537540436,0
