relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,88.625,-3.1484375,0.0,0.0,0.0,0.17139003043100892
birth_place,declarative,14.125,-1.6796875,0.0,0.25,0.14642857142857144,0.28616606772856773
birth_place,qa,37.375,-2.71875,0.0,0.5,0.24305555555555555,0.36663875325361034
birth_place,raw_question,480.0,-9.359375,0.25,0.25,0.25,0.32243102519600214
capital,chat_template,5.0,-0.3203125,0.125,0.375,0.27976190476190477,0.48172609858953136
capital,declarative,1.25,1.46875,0.0,0.75,0.30208333333333337,0.3739850962417143
capital,qa,1.125,2.71875,0.0,0.625,0.3035714285714286,0.47343592798588263
capital,raw_question,20.375,-5.3671875,0.125,0.625,0.3535714285714286,0.4717816162275335
currency,chat_template,56.25,-1.9375,0.0,0.375,0.4791666666666667,0.607056960210985
currency,declarative,6.5,-4.6640625,0.0,0.5,0.38571428571428573,0.506238383800465
currency,qa,30.625,-3.1171875,0.0,0.375,0.5083333333333333,0.6465667641325537
currency,raw_question,168.875,-8.171875,0.0,0.0,0.275,0.5081244210585812
headquarters,chat_template,389.125,-4.078125,0.0,0.5,0.2857142857142857,0.4370903515373863
headquarters,declarative,190.625,-0.90625,0.0,0.625,0.49107142857142855,0.608279267887983
headquarters,qa,382.25,-5.75,0.25,0.625,0.5333333333333333,0.5735540775014459
headquarters,raw_question,885.625,-9.9921875,0.125,0.5,0.3376984126984127,0.42116608071464434
official_language,chat_template,2.375,0.2421875,0.0,0.375,0.13125,0.3305117229735103
official_language,declarative,1.0,1.5390625,0.0,0.625,0.18214285714285713,0.3347220110114757
official_language,qa,1.375,0.53125,0.0,0.625,0.15892857142857142,0.2886284008857567
official_language,raw_question,18.0,-5.953125,0.0,0.375,0.09375,0.23518574607073006
