model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
gemma_270m_it,capital,raw_question,invariant,capital:6,0.6666666666666666,0.5,0.16666666666666663,1.0,1.0,0.0,15,17
gemma_270m_it,capital,declarative,invariant,capital:6,0.4,0.4,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,capital,qa,invariant,capital:6,0.4,0.4444444444444445,-0.04444444444444445,1.0,1.0,0.0,1,1
gemma_270m_it,capital,chat_template,invariant,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,8,22
gemma_270m_it,capital,raw_question,invariant,capital:7,0.4,0.0,0.4,1.0,0.0,1.0,26,21
gemma_270m_it,capital,declarative,invariant,capital:7,0.25,0.25,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,capital,qa,invariant,capital:7,0.2222222222222222,0.25,-0.02777777777777779,1.0,1.0,0.0,1,1
gemma_270m_it,capital,chat_template,invariant,capital:7,1.0,1.0,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,official_language,raw_question,invariant,official_language:6,0.5,0.0,0.5,1.0,0.0,1.0,28,34
gemma_270m_it,official_language,declarative,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,415,724
gemma_270m_it,official_language,qa,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,4,10
gemma_270m_it,official_language,chat_template,invariant,official_language:6,1.0,0.25,0.75,1.0,1.0,0.0,1263,891
gemma_270m_it,official_language,raw_question,invariant,official_language:7,0.4,0.0,0.4,1.0,0.0,1.0,25,22
gemma_270m_it,official_language,declarative,invariant,official_language:7,0.19999999999999998,0.0,0.19999999999999998,1.0,0.0,1.0,696,1890
gemma_270m_it,official_language,qa,invariant,official_language:7,0.19999999999999998,0.0,0.19999999999999998,1.0,0.0,1.0,2,4
gemma_270m_it,official_language,chat_template,invariant,official_language:7,0.0,0.25,-0.25,0.0,1.0,-1.0,2,2
