candidate_type,prompt_family,answer_f1_drop,contains_drop,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase,model_name
invariant,chat_template,0.1038888888888888,0.25,0.0596031746031746,0.0,-0.0088888888888888,-0.0353968253968253,-0.0442857142857142,gemma_270m_base
invariant,declarative,0.0030555555555555,0.0,0.0046464646464646,0.0,0.0,0.001590909090909,0.001590909090909,gemma_270m_base
invariant,qa,0.0204040404040404,0.0,-0.0195959595959596,0.0,0.0,-0.04,-0.04,gemma_270m_base
invariant,raw_question,-0.0727272727272727,-0.05,-0.0729292929292929,0.0,-0.0111111111111111,0.0109090909090909,-0.0002020202020201,gemma_270m_base
prompt_sensitive,chat_template,-0.0136111111111111,0.0,0.036547619047619,0.0,0.0049999999999999,0.0451587301587301,0.0501587301587301,gemma_270m_base
prompt_sensitive,declarative,0.017020202020202,0.05,0.005,0.0,0.0,-0.012020202020202,-0.012020202020202,gemma_270m_base
prompt_sensitive,qa,-0.0716161616161616,-0.15,-0.0593939393939394,0.0,0.0,0.0122222222222222,0.0122222222222222,gemma_270m_base
prompt_sensitive,raw_question,-0.2191161616161616,-0.3,-0.1534848484848485,0.0,-0.0111111111111111,0.0767424242424242,0.0656313131313131,gemma_270m_base
invariant,chat_template,-0.1149999999999999,-0.35,-0.0034090909090909,0.0,-0.0159090909090909,0.1275,0.1115909090909091,gemma_270m_it
invariant,declarative,0.025,0.0,0.0279401154401154,0.0,-0.002020202020202,0.0049603174603174,0.0029401154401154,gemma_270m_it
invariant,qa,0.05,0.05,0.0222222222222222,0.0,0.0,-0.0277777777777777,-0.0277777777777777,gemma_270m_it
invariant,raw_question,0.0909523809523809,0.15,0.0987301587301587,0.0,-0.0333333333333333,0.0411111111111111,0.0077777777777777,gemma_270m_it
prompt_sensitive,chat_template,0.2033333333333333,0.15,0.1616666666666666,0.0,-0.025,-0.0166666666666666,-0.0416666666666666,gemma_270m_it
prompt_sensitive,declarative,0.0184523809523809,0.05,0.0156746031746031,0.0,-0.0111111111111111,0.0083333333333333,-0.0027777777777777,gemma_270m_it
