prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,model_name,model_family,model_variant
chat_template,293.37142857142857,-3.5767857142857142,0.0142857142857142,0.2,0.1279251700680272,0.3093499862635134,gemma_270m_base,gemma,base
declarative,83.87142857142857,-1.9892857142857143,0.0,0.3857142857142857,0.145621521335807,0.2901272337862926,gemma_270m_base,gemma,base
qa,114.67142857142858,-2.226785714285714,0.0142857142857142,0.2142857142857142,0.1063955885384456,0.2785726043907349,gemma_270m_base,gemma,base
raw_question,413.3857142857143,-6.748214285714286,0.0,0.1857142857142857,0.1189177489177489,0.2538849061351396,gemma_270m_base,gemma,base
chat_template,4139.757142857143,-13.415680803571428,0.2,0.2,0.2423809523809523,0.5469387745897034,gemma_270m_it,gemma,instruct
declarative,486.0571428571429,-3.9591517857142855,0.0,0.3714285714285714,0.1727602556173984,0.3011965887744076,gemma_270m_it,gemma,instruct
qa,94.48571428571428,-3.8236607142857135,0.0142857142857142,0.3714285714285714,0.1883261183261183,0.3486950539148376,gemma_270m_it,gemma,instruct
raw_question,771.4857142857143,-12.345089285714286,0.0142857142857142,0.4142857142857143,0.276031746031746,0.4534478348322313,gemma_270m_it,gemma,instruct
chat_template,48691.74285714285,-12.629575892857142,0.0285714285714285,0.4571428571428571,0.2381488352916924,0.3398622393121006,qwen2_5_0_5b_base,qwen,base
declarative,51.27142857142857,-2.302678571428572,0.0,0.4857142857142857,0.2329334157905586,0.371928029581316,qwen2_5_0_5b_base,qwen,base
qa,136.57142857142858,-0.8279017857142857,0.3571428571428571,0.6142857142857143,0.533051948051948,0.6870050094272965,qwen2_5_0_5b_base,qwen,base
raw_question,819.8142857142857,-5.925948660714286,0.0428571428571428,0.3142857142857143,0.1916450216450216,0.3400668816254279,qwen2_5_0_5b_base,qwen,base
chat_template,1335.1857142857143,-6.384095982142857,0.3,0.3714285714285714,0.4048299319727891,0.6083430985930539,qwen2_5_0_5b_instruct,qwen,instruct
declarative,66.94285714285714,-2.9080357142857145,0.0,0.4285714285714285,0.1896062667491239,0.3371855570754727,qwen2_5_0_5b_instruct,qwen,instruct
qa,95.01428571428572,-0.8831473214285714,0.0142857142857142,0.5142857142857142,0.2095001030715316,0.3279754528535473,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,745.2428571428571,-6.383112444196429,0.0,0.4428571428571428,0.2134900020614306,0.3662178784251143,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,152.3,-1.6589285714285715,0.0428571428571428,0.4,0.2642517006802721,0.418417829384535,smollm2_360m_base,smollm2,base
declarative,30.985714285714284,-0.6214285714285714,0.0,0.5571428571428572,0.2960430839002267,0.415369157710861,smollm2_360m_base,smollm2,base
qa,78.02857142857142,-1.5129464285714285,0.0428571428571428,0.5714285714285714,0.3401360544217687,0.4413547923651217,smollm2_360m_base,smollm2,base
raw_question,338.27142857142854,-7.778571428571428,0.1,0.4,0.2800680272108843,0.3935317496571435,smollm2_360m_base,smollm2,base
chat_template,2121.4857142857145,-10.054603794642857,0.1571428571428571,0.5142857142857142,0.3444032158317873,0.4819793037823361,smollm2_360m_instruct,smollm2,instruct
declarative,30.214285714285715,-0.5910714285714286,0.0,0.4857142857142857,0.2553061224489796,0.3712154231927098,smollm2_360m_instruct,smollm2,instruct
qa,1406.5428571428572,-10.592354910714286,0.0,0.0,0.0,0.0021164021164021,smollm2_360m_instruct,smollm2,instruct
raw_question,3171.657142857143,-13.878731863839286,0.0,0.0142857142857142,0.0031746031746031,0.0217169021992598,smollm2_360m_instruct,smollm2,instruct
