fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth,split_eval,analysis_variant
birth_place:0,birth_place,preanswer,-0.1135641447912515,0.017090067139589382,21,all,all_families
birth_place:0,birth_place,subject,0.3198088037501794,0.8428098112792177,0,all,all_families
birth_place:1,birth_place,preanswer,-0.10932994689191294,-0.015820707468425566,-1,all,all_families
birth_place:1,birth_place,subject,0.3341592457862586,0.8020046250985973,0,all,all_families
birth_place:10,birth_place,preanswer,-0.10247131144788475,0.01643206712369827,21,all,all_families
birth_place:10,birth_place,subject,0.3727972197390949,0.8729041757766276,0,all,all_families
birth_place:11,birth_place,preanswer,-0.10672207705281277,0.01222806935216858,21,all,all_families
birth_place:11,birth_place,subject,0.2995713784416961,0.8494673314616745,0,all,all_families
birth_place:12,birth_place,preanswer,-0.10710894583676504,0.008540670296140696,21,all,all_families
birth_place:12,birth_place,subject,0.31354534615435536,0.890937498123522,0,all,all_families
birth_place:13,birth_place,preanswer,-0.10169597756826347,0.03528050375262315,21,all,all_families
birth_place:13,birth_place,subject,0.29628872042052706,0.8592511702043018,0,all,all_families
birth_place:14,birth_place,preanswer,-0.10497610888358667,0.017060138467772323,21,all,all_families
birth_place:14,birth_place,subject,0.29198005366164625,0.8234315053047669,0,all,all_families
birth_place:15,birth_place,preanswer,-0.1082507868337725,0.02829150453794238,21,all,all_families
birth_place:15,birth_place,subject,0.2942899902715664,0.8356776830155913,0,all,all_families
birth_place:16,birth_place,preanswer,-0.1126906404622109,-0.0057754750345268,-1,all,all_families
birth_place:16,birth_place,subject,0.327202748319383,0.8736086681216572,0,all,all_families
birth_place:17,birth_place,preanswer,-0.10406803882154299,0.010194199378876112,21,all,all_families
birth_place:17,birth_place,subject,0.29635580904704173,0.8680710867644367,0,all,all_families
birth_place:2,birth_place,preanswer,-0.10391429561298304,0.009685891296933646,21,all,all_families
birth_place:2,birth_place,subject,0.31319350438713506,0.8182949220485456,0,all,all_families
birth_place:3,birth_place,preanswer,-0.12398795086763581,-0.05082707128980579,-1,all,all_families
birth_place:3,birth_place,subject,0.299167907671492,0.9124194564053552,0,all,all_families
birth_place:4,birth_place,preanswer,-0.10790788882858655,-0.012009516504465356,-1,all,all_families
birth_place:4,birth_place,subject,0.31710777468229895,0.8525800663274805,0,all,all_families
birth_place:5,birth_place,preanswer,-0.09888357679782904,0.03689937059785797,21,all,all_families
birth_place:5,birth_place,subject,0.30428260381887456,0.7926661484993484,0,all,all_families
birth_place:6,birth_place,preanswer,-0.10512615177802315,0.02041259236341597,21,all,all_families
birth_place:6,birth_place,subject,0.3239872908558812,0.8589448278681968,0,all,all_families
birth_place:7,birth_place,preanswer,-0.10257888722259727,0.03802112762031018,21,all,all_families
birth_place:7,birth_place,subject,0.29078116285438904,0.8342635630876483,0,all,all_families
birth_place:8,birth_place,preanswer,-0.10277548548080684,0.013287670125125661,21,all,all_families
birth_place:8,birth_place,subject,0.2968030837423463,0.8666062809472137,0,all,all_families
birth_place:9,birth_place,preanswer,-0.10010553959893241,0.031127468938482727,21,all,all_families
birth_place:9,birth_place,subject,0.31288574659607976,0.7966413518468685,0,all,all_families
capital:0,capital,preanswer,-0.08628781749721504,0.03386980185613908,21,all,all_families
capital:0,capital,subject,-0.015151643211283,0.03653544519900109,0,all,all_families
capital:1,capital,preanswer,-0.08905980808273906,0.02822495642684253,21,all,all_families
capital:1,capital,subject,-0.018502300955755398,0.032943287937372334,1,all,all_families
capital:10,capital,preanswer,-0.09144108163933744,0.03071391776058019,21,all,all_families
capital:10,capital,subject,-0.018517093133566333,0.03310267954115198,1,all,all_families
capital:11,capital,preanswer,-0.08384894399703959,0.03638500734871508,21,all,all_families
capital:11,capital,subject,-0.015940238027599425,0.03426880780242236,1,all,all_families
capital:12,capital,preanswer,-0.08912324963433456,0.04218261962866077,21,all,all_families
capital:12,capital,subject,-0.016299648157810164,0.03240260554879315,0,all,all_families
capital:13,capital,preanswer,-0.08928360443578225,0.034043924079513954,21,all,all_families
capital:13,capital,subject,-0.01248535753908382,0.03266942347673807,1,all,all_families
capital:14,capital,preanswer,-0.08646485598968913,0.04102985345411536,21,all,all_families
capital:14,capital,subject,0.491130576624605,0.8569057614213842,0,all,all_families
capital:15,capital,preanswer,-0.09085325003876825,0.03968700152986193,21,all,all_families
capital:15,capital,subject,-0.024439657768869954,0.03170123712762318,1,all,all_families
capital:16,capital,preanswer,-0.08489242425887415,0.05640007679661119,21,all,all_families
capital:16,capital,subject,-0.014196641949002385,0.03271951480750368,1,all,all_families
capital:17,capital,preanswer,-0.09122473030457912,0.02706348074271403,21,all,all_families
capital:17,capital,subject,-0.016960161459233517,0.033898855796923755,1,all,all_families
capital:2,capital,preanswer,-0.08611643004479191,0.048395677086184974,21,all,all_families
capital:2,capital,subject,-0.017863228512806913,0.03159967022856658,1,all,all_families
capital:3,capital,preanswer,-0.08639650419678409,0.058159544077866165,21,all,all_families
capital:3,capital,subject,0.545178639861191,0.9448331910123884,0,all,all_families
capital:4,capital,preanswer,-0.08639725685127346,0.03374603646350849,21,all,all_families
capital:4,capital,subject,-0.015224146183231672,0.03798336199685648,0,all,all_families
capital:5,capital,preanswer,-0.08635725841784829,0.04590148354570067,21,all,all_families
capital:5,capital,subject,0.4926389082067866,0.8943730251425329,0,all,all_families
capital:6,capital,preanswer,-0.08483359501265797,0.06003679108678128,21,all,all_families
capital:6,capital,subject,-0.012700917616504041,0.037096718490562064,0,all,all_families
capital:7,capital,preanswer,-0.08772219837958035,0.03898615116143933,21,all,all_families
capital:7,capital,subject,-0.019162871458189523,0.03458917869583644,1,all,all_families
capital:8,capital,preanswer,-0.08312148856453098,0.06674108687130842,21,all,all_families
capital:8,capital,subject,-0.012652866179016993,0.032296238941889266,1,all,all_families
capital:9,capital,preanswer,-0.08404031783340864,0.06525740315955064,21,all,all_families
capital:9,capital,subject,-0.015470772080946714,0.0321605272919816,1,all,all_families
currency:0,currency,preanswer,-0.08739578100105859,0.017083013685894932,21,all,all_families
currency:0,currency,subject,-0.018385639576164528,0.03638290489713347,0,all,all_families
currency:1,currency,preanswer,-0.08825865959645147,0.01604533794463847,21,all,all_families
currency:1,currency,subject,-0.02202456789420311,0.03285446921911306,1,all,all_families
currency:10,currency,preanswer,-0.09024903484218978,0.011541768981545575,21,all,all_families
currency:10,currency,subject,-0.0226642262559419,0.0334126138146601,1,all,all_families
currency:11,currency,preanswer,-0.08283148798472172,0.0267910416804108,21,all,all_families
currency:11,currency,subject,-0.015673790337518607,0.03435095220658124,1,all,all_families
currency:12,currency,preanswer,-0.08891677713170769,0.017557551828669582,21,all,all_families
currency:12,currency,subject,-0.02012997937238063,0.033059262524486765,0,all,all_families
currency:13,currency,preanswer,-0.087329988358398,0.013432706541874784,21,all,all_families
currency:13,currency,subject,-0.014362024429906313,0.03187042655532846,1,all,all_families
currency:14,currency,preanswer,-0.08630927046752668,0.025375990306629848,21,all,all_families
currency:14,currency,subject,0.4956862437873592,0.8579918046244512,0,all,all_families
currency:15,currency,preanswer,-0.08969701019358423,0.019526453725263182,21,all,all_families
currency:15,currency,subject,-0.022480969921780124,0.03091592924194586,1,all,all_families
currency:16,currency,preanswer,-0.08457276866653533,0.020437154991953976,21,all,all_families
currency:16,currency,subject,-0.016254362654780922,0.03311171216488473,1,all,all_families
currency:17,currency,preanswer,-0.0897909475995519,0.018297309822895902,21,all,all_families
currency:17,currency,subject,-0.020560772779277446,0.033440818224905744,1,all,all_families
currency:2,currency,preanswer,-0.08660261922988056,0.021771361576575776,21,all,all_families
currency:2,currency,subject,-0.019162364991239477,0.03156420955544004,1,all,all_families
currency:3,currency,preanswer,-0.091950612832406,0.03598993994733868,21,all,all_families
currency:3,currency,subject,0.5289759763689207,0.9426221451539474,0,all,all_families
currency:4,currency,preanswer,-0.08548491456324471,0.0198736444261729,21,all,all_families
currency:4,currency,subject,-0.017632574582582026,0.03823417246195615,0,all,all_families
currency:5,currency,preanswer,-0.08702663077547544,0.025337379060539456,21,all,all_families
currency:5,currency,subject,0.49332358229759277,0.8951582394668138,0,all,all_families
currency:6,currency,preanswer,-0.0880369591119186,0.01583019205752545,21,all,all_families
currency:6,currency,subject,-0.015418080996312622,0.037525613481799724,0,all,all_families
currency:7,currency,preanswer,-0.0891029682953481,0.016249100002003636,21,all,all_families
currency:7,currency,subject,-0.01861631164340198,0.03423289142037722,1,all,all_families
currency:8,currency,preanswer,-0.08481415114205493,0.024463805059591892,21,all,all_families
currency:8,currency,subject,-0.017100306971187345,0.03143055623798974,1,all,all_families
currency:9,currency,preanswer,-0.08590047309662859,0.021931071783982015,21,all,all_families
currency:9,currency,subject,-0.01938141096502032,0.03191950805850474,1,all,all_families
headquarters:0,headquarters,preanswer,-0.10366799027629965,0.004810567141747879,21,all,all_families
