fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap
capital:0,capital,subject,0,0.8548876047134399,0.8173505049198866,0.03753709979355335
capital:0,capital,subject,1,0.9029905597368876,0.8492929391901601,0.05369762054672744
capital:0,capital,subject,2,0.9067962964375814,0.8495831806212664,0.05721311581631505
capital:0,capital,subject,3,0.8725171287854513,0.8114006133242087,0.06111651546124264
capital:0,capital,subject,4,0.8683330118656158,0.8008774131197821,0.06745559874583373
capital:0,capital,subject,5,0.8559827109177908,0.7906348546120253,0.06534785630576545
capital:0,capital,subject,6,0.8589375416437784,0.8147108371962201,0.044226704447558385
capital:0,capital,subject,7,0.8558758894602457,0.8219405043531548,0.03393538510709093
capital:0,capital,subject,8,0.8625072538852692,0.8290073163807392,0.03349993750452995
capital:0,capital,subject,9,0.8586178223292033,0.8278341784395955,0.030783643889607748
capital:0,capital,subject,10,0.8459912240505219,0.8155883863906969,0.03040283765982499
capital:0,capital,subject,11,0.8508352835973104,0.8188386359675364,0.031996647629774055
capital:0,capital,subject,12,0.8538001179695129,0.8178013488650322,0.03599876910448074
capital:0,capital,subject,13,0.8527328471342722,0.8226191093298522,0.03011373780442006
capital:0,capital,subject,14,0.862471361955007,0.836738888851621,0.025732473103386
capital:0,capital,subject,15,0.8844829102357229,0.8538273464549672,0.030655563780755735
capital:0,capital,subject,16,0.8967320621013641,0.862484850328077,0.034247211773287156
capital:0,capital,subject,17,0.8984935681025187,0.8625517971813679,0.035941770921150806
capital:0,capital,subject,18,0.8891964654127756,0.8563702414658937,0.03282622394688195
capital:0,capital,subject,19,0.8899689515431722,0.8664993349124085,0.023469616630763745
capital:0,capital,subject,20,0.8756316105524699,0.853771832856265,0.02185977769620484
capital:0,capital,subject,21,0.8788148164749146,0.8633865880017931,0.01542822847312142
capital:0,capital,subject,22,0.8664820492267609,0.8586204217916186,0.007861627435142293
capital:0,capital,subject,23,0.8515685598055521,0.8475587300278924,0.004009829777659735
capital:0,capital,subject,24,0.8701290488243103,0.8682055798443881,0.0019234689799222382
capital:0,capital,subject,25,0.855276624361674,0.8531381267715584,0.002138497590115529
capital:0,capital,subject,26,0.8552863299846649,0.8252765187485651,0.030009811236099804
capital:0,capital,subject,27,0.8519499202569326,0.7870699627832933,0.06487995747363928
capital:0,capital,subject,28,0.8472504814465841,0.7930994904176756,0.054150991028908524
capital:0,capital,subject,29,0.8703677654266357,0.8242352713238109,0.04613249410282483
capital:0,capital,subject,30,0.8759672045707703,0.8300767822021787,0.04589042236859153
capital:0,capital,subject,31,0.7621470044056574,0.7796821628104557,-0.017535158404798246
capital:0,capital,preanswer,0,0.7830567459265391,0.8364082442765887,-0.0533514983500496
capital:0,capital,preanswer,1,0.8431519269943237,0.8819424990903247,-0.03879057209600101
capital:0,capital,preanswer,2,0.8207557201385498,0.8653650436211716,-0.04460932348262181
capital:0,capital,preanswer,3,0.7810268600781759,0.8353340629149567,-0.05430720283678081
capital:0,capital,preanswer,4,0.7690888941287994,0.8253378553146665,-0.056248961185867086
capital:0,capital,preanswer,5,0.7505077222983042,0.8117126551541415,-0.06120493285583728
capital:0,capital,preanswer,6,0.7328238785266876,0.7977597594938495,-0.06493588096716185
capital:0,capital,preanswer,7,0.740779181321462,0.8030690025876869,-0.06228982126622484
capital:0,capital,preanswer,8,0.7542000710964203,0.8121303177692674,-0.057930246672847074
capital:0,capital,preanswer,9,0.7679576774438223,0.8219981261275031,-0.05404044868368085
capital:0,capital,preanswer,10,0.7647427121798197,0.8180103183469989,-0.05326760616717918
capital:0,capital,preanswer,11,0.7676579455534617,0.8200319531289014,-0.05237400757543975
