relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.32936507936507936,0.2738095238095238,0.0,0.05555555555555555,0.0,0.05555555555555555
birth_place,declarative,0.07916666666666665,0.04583333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333
birth_place,qa,0.0,0.0,0.0,0.0,0.0,0.0
birth_place,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
capital,chat_template,0.6222222222222222,0.6222222222222222,0.0,0.0,0.0,0.0
capital,declarative,0.2736111111111111,0.2736111111111111,0.0,0.0,0.0,0.0
capital,qa,0.0,0.0,0.0,0.0,0.0,0.0
capital,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
currency,chat_template,0.16693722943722944,0.13915945165945168,0.0,0.0,0.02777777777777778,0.02777777777777778
currency,declarative,0.23287037037037037,0.21203703703703702,0.0,0.0,0.020833333333333332,0.020833333333333332
currency,qa,0.0,0.0,0.0,0.0,0.0,0.0
currency,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
headquarters,chat_template,0.26494708994708993,0.2441137566137566,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332
headquarters,declarative,0.4428030303030303,0.4150252525252525,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776
headquarters,qa,0.0,0.0,0.0,0.0,0.0,0.0
headquarters,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
official_language,chat_template,0.1527777777777778,0.09027777777777779,0.0,0.0,0.0625,0.0625
official_language,declarative,0.15482804232804234,0.09649470899470898,0.0,0.0,0.05833333333333333,0.05833333333333333
official_language,qa,0.0,0.0,0.0,0.0,0.0,0.0
official_language,raw_question,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517
