candidate_type,prompt_family,answer_f1_drop,contains_drop,model_name
invariant,chat_template,0.0,-0.2,gemma_270m_base
invariant,declarative,-0.0044444444444444,0.0,gemma_270m_base
invariant,qa,0.0,0.0,gemma_270m_base
invariant,raw_question,0.0,0.0,gemma_270m_base
prompt_sensitive,chat_template,0.0,0.0,gemma_270m_base
prompt_sensitive,declarative,-0.0488888888888888,-0.2,gemma_270m_base
prompt_sensitive,qa,0.0,0.0,gemma_270m_base
prompt_sensitive,raw_question,0.0,0.0,gemma_270m_base
invariant,chat_template,-0.2,0.0,gemma_270m_it
invariant,declarative,0.0472727272727272,0.2,gemma_270m_it
invariant,qa,0.0696969696969697,0.0,gemma_270m_it
invariant,raw_question,-0.0363636363636363,0.0,gemma_270m_it
prompt_sensitive,chat_template,0.0,0.0,gemma_270m_it
prompt_sensitive,declarative,0.0,0.0,gemma_270m_it
prompt_sensitive,qa,0.0296969696969696,0.0,gemma_270m_it
prompt_sensitive,raw_question,-0.1733333333333333,-0.4,gemma_270m_it
invariant,chat_template,0.0,0.0,qwen2_5_0_5b_base
invariant,declarative,0.0,0.0,qwen2_5_0_5b_base
invariant,qa,0.0,-0.2,qwen2_5_0_5b_base
invariant,raw_question,0.0,0.0,qwen2_5_0_5b_base
prompt_sensitive,chat_template,-0.0109090909090909,0.0,qwen2_5_0_5b_base
prompt_sensitive,declarative,-0.1066666666666666,-0.4,qwen2_5_0_5b_base
prompt_sensitive,qa,0.0,0.0,qwen2_5_0_5b_base
prompt_sensitive,raw_question,0.0,0.0,qwen2_5_0_5b_base
invariant,chat_template,0.0,0.0,qwen2_5_0_5b_instruct
invariant,declarative,0.0,0.0,qwen2_5_0_5b_instruct
invariant,qa,0.0,0.0,qwen2_5_0_5b_instruct
invariant,raw_question,-0.08,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,chat_template,0.3333333333333333,0.4,qwen2_5_0_5b_instruct
prompt_sensitive,declarative,0.0,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,qa,0.0,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,raw_question,0.0,0.0,qwen2_5_0_5b_instruct
invariant,chat_template,0.0,0.0,smollm2_360m_instruct
invariant,declarative,0.01,0.0,smollm2_360m_instruct
invariant,qa,0.0,0.0,smollm2_360m_instruct
invariant,raw_question,0.0,0.0,smollm2_360m_instruct
prompt_sensitive,chat_template,0.0,-0.2,smollm2_360m_instruct
prompt_sensitive,declarative,0.0064646464646464,-0.2,smollm2_360m_instruct
prompt_sensitive,qa,-0.12,-0.2,smollm2_360m_instruct
prompt_sensitive,raw_question,0.0,0.0,smollm2_360m_instruct
