relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs,model_name
birth_place,answer_f1,chat_template,declarative,0.1,0.0,0.3,1.0,4,gemma_270m_base
birth_place,answer_f1,chat_template,qa,0.0,0.0,0.0,1.0,4,gemma_270m_base
birth_place,answer_f1,chat_template,raw_question,0.0,0.0,0.0,1.0,4,gemma_270m_base
birth_place,answer_f1,declarative,qa,-0.1,-0.3,0.0,1.0,4,gemma_270m_base
birth_place,answer_f1,declarative,raw_question,-0.1,-0.3,0.0,1.0,4,gemma_270m_base
birth_place,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4,gemma_270m_base
capital,answer_f1,chat_template,declarative,-0.0638888888888888,-0.3377083333333333,0.1627083333333332,1.0,4,gemma_270m_base
capital,answer_f1,chat_template,qa,-0.2166666666666666,-0.52625,0.0,0.5,4,gemma_270m_base
capital,answer_f1,chat_template,raw_question,-0.05,-0.3833333333333333,0.35,1.0,4,gemma_270m_base
capital,answer_f1,declarative,qa,-0.1527777777777777,-0.2083333333333333,-0.0555555555555555,0.25,4,gemma_270m_base
capital,answer_f1,declarative,raw_question,0.0138888888888888,-0.1666666666666666,0.375,1.0,4,gemma_270m_base
capital,answer_f1,qa,raw_question,0.1666666666666666,0.0,0.5,1.0,4,gemma_270m_base
currency,answer_f1,chat_template,declarative,0.1089285714285714,-0.1375,0.2642857142857143,0.625,4,gemma_270m_base
currency,answer_f1,chat_template,qa,0.101010101010101,0.0,0.2073232323232322,0.5,4,gemma_270m_base
currency,answer_f1,chat_template,raw_question,0.0416666666666666,-0.25,0.5,1.0,4,gemma_270m_base
currency,answer_f1,declarative,qa,-0.0079184704184704,-0.1604924242424242,0.1375,0.625,4,gemma_270m_base
currency,answer_f1,declarative,raw_question,-0.0672619047619047,-0.2617410714285714,0.3,0.625,4,gemma_270m_base
currency,answer_f1,qa,raw_question,-0.0593434343434343,-0.3462121212121212,0.4545454545454545,0.625,4,gemma_270m_base
headquarters,answer_f1,chat_template,declarative,-0.0499999999999999,-0.4499999999999999,0.3,1.0,4,gemma_270m_base
headquarters,answer_f1,chat_template,qa,-0.0138888888888888,-0.375,0.3333333333333333,1.0,4,gemma_270m_base
headquarters,answer_f1,chat_template,raw_question,-0.1944444444444444,-0.5833333333333334,0.0,1.0,4,gemma_270m_base
headquarters,answer_f1,declarative,qa,0.0361111111111111,0.0,0.0749999999999999,0.5,4,gemma_270m_base
headquarters,answer_f1,declarative,raw_question,-0.1444444444444444,-0.3,0.0,0.5,4,gemma_270m_base
headquarters,answer_f1,qa,raw_question,-0.1805555555555555,-0.3333333333333333,0.0,0.5,4,gemma_270m_base
official_language,answer_f1,chat_template,declarative,0.0555555555555555,0.0,0.1666666666666666,1.0,4,gemma_270m_base
official_language,answer_f1,chat_template,qa,0.0555555555555555,0.0,0.1666666666666666,1.0,4,gemma_270m_base
official_language,answer_f1,chat_template,raw_question,0.0555555555555555,0.0,0.1666666666666666,1.0,4,gemma_270m_base
official_language,answer_f1,declarative,qa,0.0,-0.1666666666666666,0.1666666666666666,1.0,4,gemma_270m_base
official_language,answer_f1,declarative,raw_question,0.0,0.0,0.0,1.0,4,gemma_270m_base
official_language,answer_f1,qa,raw_question,0.0,-0.1666666666666666,0.1666666666666666,1.0,4,gemma_270m_base
birth_place,answer_f1,chat_template,declarative,-0.1071428571428571,-0.75,0.4285714285714286,1.0,4,gemma_270m_it
birth_place,answer_f1,chat_template,qa,0.125,-0.375,0.75,1.0,4,gemma_270m_it
birth_place,answer_f1,chat_template,raw_question,0.0972222222222222,-0.2236111111111111,0.4305555555555556,1.0,4,gemma_270m_it
birth_place,answer_f1,declarative,qa,0.2321428571428571,0.0,0.375,0.5,4,gemma_270m_it
birth_place,answer_f1,declarative,raw_question,0.2043650793650793,-0.1746031746031746,0.5635416666666663,1.0,4,gemma_270m_it
birth_place,answer_f1,qa,raw_question,-0.0277777777777777,-0.4583333333333333,0.375,1.0,4,gemma_270m_it
capital,answer_f1,chat_template,declarative,-0.0375,-0.4125,0.4499999999999999,1.0,4,gemma_270m_it
capital,answer_f1,chat_template,qa,-0.1527777777777778,-0.5416666666666667,0.125,1.0,4,gemma_270m_it
capital,answer_f1,chat_template,raw_question,-0.0833333333333333,-0.25,0.0,1.0,4,gemma_270m_it
capital,answer_f1,declarative,qa,-0.1152777777777777,-0.3286458333333333,0.0,0.5,4,gemma_270m_it
capital,answer_f1,declarative,raw_question,-0.0458333333333333,-0.4499999999999999,0.2083333333333333,1.0,4,gemma_270m_it
capital,answer_f1,qa,raw_question,0.0694444444444444,-0.125,0.2916666666666666,1.0,4,gemma_270m_it
currency,answer_f1,chat_template,declarative,0.2380952380952381,0.0555555555555555,0.3700396825396822,0.25,4,gemma_270m_it
currency,answer_f1,chat_template,qa,0.2625,0.0625,0.3625,0.25,4,gemma_270m_it
currency,answer_f1,chat_template,raw_question,0.3,0.0,0.6000000000000001,0.5,4,gemma_270m_it
currency,answer_f1,declarative,qa,0.0244047619047618,-0.0263888888888889,0.0857142857142857,1.0,4,gemma_270m_it
currency,answer_f1,declarative,raw_question,0.0619047619047619,-0.1380952380952381,0.2111111111111111,1.0,4,gemma_270m_it
currency,answer_f1,qa,raw_question,0.0375,-0.1875,0.2375,1.0,4,gemma_270m_it
headquarters,answer_f1,chat_template,declarative,-0.0666666666666666,-0.3793749999999999,0.3083333333333333,1.0,4,gemma_270m_it
headquarters,answer_f1,chat_template,qa,-0.058080808080808,-0.4017045454545454,0.3131313131313131,1.0,4,gemma_270m_it
headquarters,answer_f1,chat_template,raw_question,-0.1916666666666666,-0.75,0.3083333333333333,1.0,4,gemma_270m_it
headquarters,answer_f1,declarative,qa,0.0085858585858586,-0.0507575757575757,0.1272727272727272,0.625,4,gemma_270m_it
headquarters,answer_f1,declarative,raw_question,-0.125,-0.375,0.0,1.0,4,gemma_270m_it
headquarters,answer_f1,qa,raw_question,-0.1335858585858585,-0.3528787878787879,0.0484785353535352,1.0,4,gemma_270m_it
official_language,answer_f1,chat_template,declarative,0.0,0.0,0.0,1.0,4,gemma_270m_it
official_language,answer_f1,chat_template,qa,0.0499999999999999,0.0,0.15,1.0,4,gemma_270m_it
official_language,answer_f1,chat_template,raw_question,0.2916666666666666,0.0,0.6052083333333329,0.5,4,gemma_270m_it
official_language,answer_f1,declarative,qa,0.0499999999999999,0.0,0.15,1.0,4,gemma_270m_it
official_language,answer_f1,declarative,raw_question,0.2916666666666666,0.0,0.6052083333333329,0.5,4,gemma_270m_it
official_language,answer_f1,qa,raw_question,0.2416666666666666,0.0,0.4916666666666667,0.5,4,gemma_270m_it
birth_place,answer_f1,chat_template,declarative,-0.2571428571428571,-0.5,-0.0446428571428573,0.25,4,qwen2_5_0_5b_base
birth_place,answer_f1,chat_template,qa,-0.1166666666666666,-0.5,0.1499999999999999,1.0,4,qwen2_5_0_5b_base
