candidate_type,prompt_family,answer_f1_drop,contains_drop,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase,model_name
invariant,chat_template,0.1348148148148148,0.2,0.1305820105820105,0.0,0.0,-0.0042328042328042,-0.0042328042328042,gemma_270m_base
invariant,declarative,0.0135930735930736,0.0,0.0102597402597402,0.0,0.0,-0.0033333333333333,-0.0033333333333333,gemma_270m_base
invariant,qa,0.0044444444444444,0.0,0.0044444444444444,0.0,0.0,0.0,0.0,gemma_270m_base
invariant,raw_question,-0.0144444444444444,0.0,-0.0311111111111111,0.0,0.0,-0.0166666666666666,-0.0166666666666666,gemma_270m_base
prompt_sensitive,chat_template,0.0181481481481481,0.0666666666666666,0.0435449735449735,0.0,0.0,0.0253968253968253,0.0253968253968253,gemma_270m_base
prompt_sensitive,declarative,0.0135930735930736,0.0,0.0069264069264069,0.0,0.0,-0.0066666666666666,-0.0066666666666666,gemma_270m_base
prompt_sensitive,qa,-0.0439057239057239,-0.0666666666666666,-0.0453872053872053,0.0,0.0,-0.0014814814814814,-0.0014814814814814,gemma_270m_base
prompt_sensitive,raw_question,-0.1049158249158249,-0.2,-0.1067676767676767,0.0,0.0,-0.0018518518518518,-0.0018518518518518,gemma_270m_base
invariant,chat_template,-0.1591582491582491,-0.4,-0.0176767676767676,0.0,0.0,0.1414814814814814,0.1414814814814814,gemma_270m_it
invariant,declarative,0.0371957671957672,0.0666666666666666,0.0371957671957672,0.0,0.0,0.0,0.0,gemma_270m_it
invariant,qa,-0.0042328042328042,0.0,0.0124338624338624,0.0,0.0,0.0166666666666666,0.0166666666666666,gemma_270m_it
invariant,raw_question,0.0772967772967773,0.1333333333333333,0.1143338143338143,0.0,-0.0444444444444444,0.0814814814814814,0.037037037037037,gemma_270m_it
prompt_sensitive,chat_template,0.1111111111111111,0.0666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,gemma_270m_it
prompt_sensitive,declarative,-0.0158730158730158,0.0,-0.0084656084656084,0.0,0.0,0.0074074074074074,0.0074074074074074,gemma_270m_it
prompt_sensitive,qa,0.0796296296296296,0.2,0.0796296296296296,0.0,0.0,0.0,0.0,gemma_270m_it
prompt_sensitive,raw_question,0.1105291005291005,0.2,0.0660846560846561,0.0,-0.0444444444444444,0.0,-0.0444444444444444,gemma_270m_it
invariant,chat_template,-0.0259259259259259,-0.0666666666666666,0.0607407407407407,0.0,0.0,0.0866666666666666,0.0866666666666666,qwen2_5_0_5b_base
invariant,declarative,0.027037037037037,0.0666666666666666,0.0285185185185185,0.0,0.0,0.0014814814814814,0.0014814814814814,qwen2_5_0_5b_base
invariant,qa,0.0066666666666666,0.0,0.0,0.0,0.0,-0.0066666666666666,-0.0066666666666666,qwen2_5_0_5b_base
invariant,raw_question,0.0,0.0,-0.0148148148148148,0.0,0.0,-0.0148148148148148,-0.0148148148148148,qwen2_5_0_5b_base
prompt_sensitive,chat_template,-0.1,-0.0666666666666666,-0.0611111111111111,0.0,0.0,0.0388888888888888,0.0388888888888888,qwen2_5_0_5b_base
prompt_sensitive,declarative,0.0443915343915344,0.0666666666666666,0.0346031746031746,0.0,0.0,-0.0097883597883597,-0.0097883597883597,qwen2_5_0_5b_base
prompt_sensitive,qa,0.1281481481481481,0.2666666666666666,0.0681481481481481,0.0,0.0,-0.06,-0.06,qwen2_5_0_5b_base
prompt_sensitive,raw_question,-0.0394708994708994,0.0,-0.1009523809523809,0.0,0.0,-0.0614814814814814,-0.0614814814814814,qwen2_5_0_5b_base
invariant,chat_template,0.0,0.0,-0.0222222222222222,0.0,0.0,-0.0222222222222222,-0.0222222222222222,qwen2_5_0_5b_instruct
invariant,declarative,-0.0031746031746031,0.0,-0.0031746031746031,0.0,0.0,0.0,0.0,qwen2_5_0_5b_instruct
invariant,qa,0.0266666666666666,0.0666666666666666,0.0414814814814814,0.0,0.0,0.0148148148148148,0.0148148148148148,qwen2_5_0_5b_instruct
invariant,raw_question,0.0151851851851851,0.0666666666666666,0.0151851851851851,0.0,0.0,0.0,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,chat_template,0.0666666666666666,0.0666666666666666,-0.0222222222222222,0.0,0.0,-0.0888888888888888,-0.0888888888888888,qwen2_5_0_5b_instruct
prompt_sensitive,declarative,0.0277248677248677,-0.0666666666666666,0.0277248677248677,0.0,0.0,0.0,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,qa,0.0191005291005291,0.0666666666666666,0.0324338624338624,0.0,0.0,0.0133333333333333,0.0133333333333333,qwen2_5_0_5b_instruct
prompt_sensitive,raw_question,0.0185185185185185,0.0666666666666666,0.0185185185185185,0.0,0.0,0.0,0.0,qwen2_5_0_5b_instruct
invariant,chat_template,-0.0076190476190476,0.0,-0.0076190476190476,0.0,0.0,0.0,0.0,smollm2_360m_base
invariant,declarative,0.0014814814814814,0.0,0.0014814814814814,0.0,0.0,0.0,0.0,smollm2_360m_base
invariant,qa,-0.04,0.0,-0.04,0.0,0.0,0.0,0.0,smollm2_360m_base
invariant,raw_question,-0.0111111111111111,-0.0666666666666666,0.0333333333333333,0.0,0.0,0.0444444444444444,0.0444444444444444,smollm2_360m_base
prompt_sensitive,chat_template,0.1382010582010582,0.2666666666666666,0.0969889369889369,0.0,0.0,-0.0412121212121212,-0.0412121212121212,smollm2_360m_base
prompt_sensitive,declarative,0.0194131794131794,0.0,0.0194131794131794,0.0,0.0,0.0,0.0,smollm2_360m_base
prompt_sensitive,qa,0.1065608465608465,0.1333333333333333,0.0787830687830687,0.0,0.0,-0.0277777777777777,-0.0277777777777777,smollm2_360m_base
