relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs,model_name
birth_place,target_selectivity,chat_template,declarative,0.0624999999999999,-0.0666666666666666,0.2208333333333333,1.0,12,gemma_270m_base
birth_place,target_selectivity,chat_template,qa,0.0555555555555555,-0.0421874999999999,0.1875,1.0,12,gemma_270m_base
birth_place,target_selectivity,chat_template,raw_question,0.0416666666666666,-0.1111111111111111,0.2222222222222222,1.0,12,gemma_270m_base
birth_place,target_selectivity,declarative,qa,-0.0069444444444444,-0.0876736111111111,0.0639583333333332,1.0,12,gemma_270m_base
birth_place,target_selectivity,declarative,raw_question,-0.0208333333333333,-0.2097222222222222,0.1736458333333333,1.0,12,gemma_270m_base
birth_place,target_selectivity,qa,raw_question,-0.0138888888888888,-0.1805555555555555,0.1666666666666666,1.0,12,gemma_270m_base
capital,target_selectivity,chat_template,declarative,-0.1261784511784512,-0.2713425925925926,0.0081102693602693,0.2890625,12,gemma_270m_base
capital,target_selectivity,chat_template,qa,-0.2759259259259259,-0.4611574074074074,-0.1073611111111111,0.03125,12,gemma_270m_base
capital,target_selectivity,chat_template,raw_question,-0.1648148148148148,-0.3685648148148148,0.0222685185185184,0.375,12,gemma_270m_base
capital,target_selectivity,declarative,qa,-0.1497474747474747,-0.2134069865319865,-0.0822853535353536,0.0078125,12,gemma_270m_base
capital,target_selectivity,declarative,raw_question,-0.0386363636363636,-0.171300505050505,0.107523148148148,0.2890625,12,gemma_270m_base
capital,target_selectivity,qa,raw_question,0.1111111111111111,0.0,0.2222222222222222,0.5,12,gemma_270m_base
currency,target_selectivity,chat_template,declarative,0.1083513708513708,-0.0446672077922077,0.2239786255411253,0.109375,12,gemma_270m_base
currency,target_selectivity,chat_template,qa,0.0503367003367003,-0.0802272727272727,0.1584785353535353,0.453125,12,gemma_270m_base
currency,target_selectivity,chat_template,raw_question,0.1138888888888888,-0.1891666666666666,0.3722916666666666,1.0,12,gemma_270m_base
currency,target_selectivity,declarative,qa,-0.0580146705146705,-0.1274688852813852,0.013907227032227,0.0703125,12,gemma_270m_base
currency,target_selectivity,declarative,raw_question,0.005537518037518,-0.1569439935064935,0.1760840548340547,0.75390625,12,gemma_270m_base
currency,target_selectivity,qa,raw_question,0.0635521885521885,-0.1259111952861953,0.2482323232323231,1.0,12,gemma_270m_base
headquarters,target_selectivity,chat_template,declarative,-0.0173941798941798,-0.150801917989418,0.1059523809523809,1.0,12,gemma_270m_base
headquarters,target_selectivity,chat_template,qa,-0.0030964405964405,-0.1607473544973544,0.1523907227032226,1.0,12,gemma_270m_base
headquarters,target_selectivity,chat_template,raw_question,-0.1045574795574795,-0.2638888888888888,0.0366462241462241,1.0,12,gemma_270m_base
headquarters,target_selectivity,declarative,qa,0.0142977392977392,-0.0345180976430976,0.0619354256854256,0.375,12,gemma_270m_base
headquarters,target_selectivity,declarative,raw_question,-0.0871632996632996,-0.1682018097643097,-0.0237626262626263,0.21875,12,gemma_270m_base
headquarters,target_selectivity,qa,raw_question,-0.1014610389610389,-0.1847996332371332,-0.0314153439153439,0.0625,12,gemma_270m_base
official_language,target_selectivity,chat_template,declarative,0.0140151515151515,-0.0344696969696969,0.0643981481481481,1.0,12,gemma_270m_base
official_language,target_selectivity,chat_template,qa,0.0347222222222222,-0.0579282407407407,0.1273726851851851,0.6875,12,gemma_270m_base
official_language,target_selectivity,chat_template,raw_question,-0.0166666666666666,-0.0870833333333333,0.0388888888888888,1.0,12,gemma_270m_base
official_language,target_selectivity,declarative,qa,0.0207070707070707,-0.0667045454545454,0.114861111111111,0.7265625,12,gemma_270m_base
official_language,target_selectivity,declarative,raw_question,-0.0306818181818181,-0.0792045454545454,0.0068181818181818,0.625,12,gemma_270m_base
official_language,target_selectivity,qa,raw_question,-0.0513888888888888,-0.1444444444444444,0.0370949074074073,0.453125,12,gemma_270m_base
birth_place,target_selectivity,chat_template,declarative,-0.0341269841269841,-0.3,0.1801587301587301,0.6875,12,gemma_270m_it
birth_place,target_selectivity,chat_template,qa,0.0138888888888888,-0.2510416666666666,0.2777777777777777,1.0,12,gemma_270m_it
birth_place,target_selectivity,chat_template,raw_question,0.0379629629629629,-0.2455787037037037,0.2833333333333332,0.7265625,12,gemma_270m_it
birth_place,target_selectivity,declarative,qa,0.048015873015873,-0.0793650793650793,0.1829365079365079,1.0,12,gemma_270m_it
birth_place,target_selectivity,declarative,raw_question,0.072089947089947,-0.1030820105820105,0.2551984126984126,0.453125,12,gemma_270m_it
birth_place,target_selectivity,qa,raw_question,0.024074074074074,-0.2269212962962962,0.2363194444444442,0.6875,12,gemma_270m_it
capital,target_selectivity,chat_template,declarative,-0.1921296296296296,-0.4421759259259258,0.062037037037037,1.0,12,gemma_270m_it
capital,target_selectivity,chat_template,qa,-0.1657407407407407,-0.4400231481481481,0.1296296296296296,1.0,12,gemma_270m_it
capital,target_selectivity,chat_template,raw_question,-0.0791666666666666,-0.3752083333333333,0.2293055555555554,0.7265625,12,gemma_270m_it
