prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,model_name,model_family,model_variant
chat_template,471.8666666666667,-3.559375,0.0166666666666666,0.1833333333333333,0.1236111111111111,0.3045721225227194,gemma_270m_base,gemma,base
declarative,86.41666666666667,-2.1822916666666665,0.0,0.4333333333333333,0.155508658008658,0.2962307128406785,gemma_270m_base,gemma,base
qa,102.43333333333334,-2.082291666666667,0.0,0.25,0.1084295334295334,0.2742372993148142,gemma_270m_base,gemma,base
raw_question,490.4166666666667,-6.727604166666667,0.0,0.1833333333333333,0.1085858585858585,0.2648802742301684,gemma_270m_base,gemma,base
chat_template,4072.366666666667,-13.373502604166667,0.2,0.2,0.2522222222222222,0.5541610202628271,gemma_270m_it,gemma,instruct
declarative,543.5166666666667,-4.146354166666667,0.0,0.3833333333333333,0.1794215969215969,0.315503362291045,gemma_270m_it,gemma,instruct
qa,365.1833333333333,-3.8600260416666665,0.0166666666666666,0.3833333333333333,0.1868434343434343,0.3418445471853322,gemma_270m_it,gemma,instruct
raw_question,1759.9833333333331,-12.456510416666667,0.0166666666666666,0.4166666666666667,0.2766137566137566,0.4553930226379492,gemma_270m_it,gemma,instruct
chat_template,46947.98333333333,-12.60859375,0.0,0.4,0.1942171717171717,0.3146622765431834,qwen2_5_0_5b_base,qwen,base
declarative,39.36666666666667,-2.490625,0.0,0.4833333333333333,0.2139081289081289,0.3623040746682598,qwen2_5_0_5b_base,qwen,base
qa,100.11666666666666,-0.975,0.3,0.55,0.4772138047138047,0.6512999046281258,qwen2_5_0_5b_base,qwen,base
raw_question,904.7833333333332,-5.738589223225912,0.05,0.3,0.1779437229437229,0.336586773166324,qwen2_5_0_5b_base,qwen,base
chat_template,935.5833333333334,-6.6865234375,0.3,0.3666666666666666,0.4047089947089947,0.6279466093527033,qwen2_5_0_5b_instruct,qwen,instruct
declarative,60.75,-3.0947916666666666,0.0,0.3833333333333333,0.1643049543049543,0.3147718977856882,qwen2_5_0_5b_instruct,qwen,instruct
qa,85.56666666666666,-1.0377604166666667,0.0,0.4833333333333333,0.1853258778258778,0.3103986770744853,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,662.05,-6.230989583333334,0.0,0.45,0.2028932178932178,0.3550494479790943,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,135.18333333333334,-1.6979166666666667,0.0333333333333333,0.3833333333333333,0.2426587301587301,0.4050823293972881,smollm2_360m_base,smollm2,base
declarative,44.9,-0.8833333333333333,0.0,0.5666666666666667,0.277936507936508,0.4035036638487377,smollm2_360m_base,smollm2,base
qa,91.9,-1.53125,0.0333333333333333,0.5833333333333334,0.3332804232804233,0.450906759025045,smollm2_360m_base,smollm2,base
raw_question,381.15,-7.694270833333333,0.0833333333333333,0.35,0.243968253968254,0.3799639167587222,smollm2_360m_base,smollm2,base
chat_template,2226.2,-10.025944010416667,0.15,0.4833333333333333,0.3072498797498798,0.454662315374027,smollm2_360m_instruct,smollm2,instruct
declarative,37.2,-0.7401041666666667,0.0,0.4833333333333333,0.2366558441558441,0.3563867149599096,smollm2_360m_instruct,smollm2,instruct
qa,1136.8333333333333,-10.369010416666669,0.0,0.0,0.0,0.0024691358024691,smollm2_360m_instruct,smollm2,instruct
raw_question,3147.366666666667,-13.751139322916666,0.0,0.0166666666666666,0.0037037037037037,0.0220182501341921,smollm2_360m_instruct,smollm2,instruct
