relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,103785.25,-18.0126953125,0.0,0.75,0.5666666666666667,0.6208791208791209
birth_place,declarative,19.0,-2.09375,0.0,0.5,0.30952380952380953,0.4772448795289528
birth_place,qa,54.0,-3.59375,0.25,0.5,0.45,0.6415436415436415
birth_place,raw_question,200.5,-6.3671875,0.0,0.5,0.4,0.5551897714688412
capital,chat_template,448.25,-7.6875,0.0,0.5,0.2013888888888889,0.3440421388534596
capital,declarative,2.0,0.390625,0.0,0.25,0.15555555555555556,0.3199275362318841
capital,qa,1.0,2.3125,0.5,0.5,0.6666666666666666,0.9727047146401986
capital,raw_question,8.0,-2.359375,0.25,0.25,0.34090909090909094,0.46721749496444276
currency,chat_template,11224.75,-5.921875,0.0,0.5,0.3055555555555556,0.42719394281537365
currency,declarative,112.0,-6.8125,0.0,0.5,0.3333333333333333,0.44193646450828394
currency,qa,4.0,-1.609375,0.0,0.5,0.5,0.6196210801393728
currency,raw_question,119.0,-4.40625,0.0,0.0,0.1,0.3198194662480377
headquarters,chat_template,51804.25,-15.0,0.0,0.75,0.4292929292929293,0.4923387096774194
headquarters,declarative,18.0,-1.765625,0.0,0.5,0.28253968253968254,0.4280380438275175
headquarters,qa,9.75,-1.265625,0.25,1.0,0.49646464646464644,0.5371712158808933
headquarters,raw_question,637.0,-8.5703125,0.0,0.75,0.4113636363636364,0.49100988617117647
official_language,chat_template,17392.25,-11.48046875,0.0,0.0,0.0,0.1701058201058201
official_language,declarative,8.0,-1.4375,0.0,0.75,0.2666666666666667,0.4290322580645161
official_language,qa,1.25,0.4375,0.25,0.5,0.3125,0.6243589743589744
official_language,raw_question,38.5,-4.359375,0.0,0.0,0.0,0.19531795946890285
