model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
smollm2_360m_instruct,capital,raw_question,invariant,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,1162,1236
smollm2_360m_instruct,capital,declarative,invariant,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
smollm2_360m_instruct,capital,qa,invariant,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,18,20
smollm2_360m_instruct,capital,chat_template,invariant,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,88,86
smollm2_360m_instruct,capital,raw_question,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,1139,1212
smollm2_360m_instruct,capital,declarative,invariant,capital:7,0.33333333333333337,0.25,0.08333333333333337,1.0,1.0,0.0,1,1
smollm2_360m_instruct,capital,qa,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,410,407
smollm2_360m_instruct,capital,chat_template,invariant,capital:7,0.4,0.4,0.0,1.0,1.0,0.0,360,372
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,841,870
smollm2_360m_instruct,official_language,declarative,invariant,official_language:6,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1
smollm2_360m_instruct,official_language,qa,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,125,165
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:6,0.25,0.25,0.0,1.0,1.0,0.0,113,113
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,2111,1999
smollm2_360m_instruct,official_language,declarative,invariant,official_language:7,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1
smollm2_360m_instruct,official_language,qa,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,490,578
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,13,14
smollm2_360m_instruct,currency,raw_question,invariant,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,1362,1531
smollm2_360m_instruct,currency,declarative,invariant,currency:6,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,4,5
smollm2_360m_instruct,currency,qa,invariant,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,66,72
smollm2_360m_instruct,currency,chat_template,invariant,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,135,158
smollm2_360m_instruct,currency,raw_question,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,2839,2952
smollm2_360m_instruct,currency,declarative,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,2,3
smollm2_360m_instruct,currency,qa,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,339,426
smollm2_360m_instruct,currency,chat_template,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,120,118
smollm2_360m_instruct,headquarters,raw_question,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,1594,1459
smollm2_360m_instruct,headquarters,declarative,invariant,headquarters:6,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,0.0,1,1
smollm2_360m_instruct,headquarters,qa,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,455,412
smollm2_360m_instruct,headquarters,chat_template,invariant,headquarters:6,0.5,0.5,0.0,1.0,1.0,0.0,4123,4384
smollm2_360m_instruct,headquarters,raw_question,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,4409,4326
smollm2_360m_instruct,headquarters,declarative,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1288,1239
smollm2_360m_instruct,headquarters,qa,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3206,3275
smollm2_360m_instruct,headquarters,chat_template,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,16881,16387
smollm2_360m_instruct,birth_place,raw_question,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,3025,3034
smollm2_360m_instruct,birth_place,declarative,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,23,25
smollm2_360m_instruct,birth_place,qa,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,1006,1048
smollm2_360m_instruct,birth_place,chat_template,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,3647,3628
smollm2_360m_instruct,birth_place,raw_question,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,3696,3382
smollm2_360m_instruct,birth_place,declarative,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,2,2
smollm2_360m_instruct,birth_place,qa,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,6834,7656
smollm2_360m_instruct,birth_place,chat_template,invariant,birth_place:7,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,582,706
smollm2_360m_instruct,capital,raw_question,prompt_sensitive,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,1162,1493
smollm2_360m_instruct,capital,declarative,prompt_sensitive,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,7
smollm2_360m_instruct,capital,qa,prompt_sensitive,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,18,25
smollm2_360m_instruct,capital,chat_template,prompt_sensitive,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,88,228
smollm2_360m_instruct,capital,raw_question,prompt_sensitive,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,1139,1117
smollm2_360m_instruct,capital,declarative,prompt_sensitive,capital:7,0.33333333333333337,0.25,0.08333333333333337,1.0,1.0,0.0,1,1
smollm2_360m_instruct,capital,qa,prompt_sensitive,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,410,690
smollm2_360m_instruct,capital,chat_template,prompt_sensitive,capital:7,0.4,0.4,0.0,1.0,1.0,0.0,360,280
smollm2_360m_instruct,official_language,raw_question,prompt_sensitive,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,841,895
smollm2_360m_instruct,official_language,declarative,prompt_sensitive,official_language:6,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1
smollm2_360m_instruct,official_language,qa,prompt_sensitive,official_language:6,0.0,0.25,-0.25,0.0,1.0,-1.0,125,162
smollm2_360m_instruct,official_language,chat_template,prompt_sensitive,official_language:6,0.25,0.25,0.0,1.0,1.0,0.0,113,124
smollm2_360m_instruct,official_language,raw_question,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,2111,1914
smollm2_360m_instruct,official_language,declarative,prompt_sensitive,official_language:7,0.2222222222222222,0.0,0.2222222222222222,1.0,0.0,1.0,1,1
smollm2_360m_instruct,official_language,qa,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,490,445
