relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,3772.625,-9.85595703125,0.125,0.125,0.125,0.37097086940836943
birth_place,declarative,26.375,-2.39453125,0.0,0.25,0.14285714285714288,0.29255688206889546
birth_place,qa,109.5,-4.09765625,0.0,0.125,0.05555555555555556,0.2436478376695768
birth_place,raw_question,1411.75,-9.646484375,0.0,0.0,0.0,0.22568123532305856
capital,chat_template,26.125,-3.8359375,0.5,0.5,0.5833333333333333,0.7930831265508684
capital,declarative,10.625,-1.828125,0.0,0.25,0.07670454545454544,0.25606110620645506
capital,qa,1.5,1.609375,0.0,0.625,0.1986111111111111,0.303812910989206
capital,raw_question,15.625,-3.25,0.0,0.625,0.35416666666666663,0.5930937265616629
currency,chat_template,249.0,-6.12109375,0.125,0.25,0.4714285714285714,0.7779751503343102
currency,declarative,234.125,-7.71875,0.0,0.25,0.23832070707070707,0.357213652884106
currency,qa,19.375,-2.53125,0.0,0.25,0.31994949494949493,0.48031616723535975
currency,raw_question,357.75,-5.3515625,0.0,0.375,0.3704545454545454,0.4953207875853749
headquarters,chat_template,1432.5,-7.94921875,0.375,0.375,0.5,0.6277236190919055
headquarters,declarative,60.25,-2.48046875,0.0,0.125,0.10555555555555556,0.2881776216807753
headquarters,qa,67.5,-3.5,0.0,0.75,0.30303030303030304,0.35721530265845536
headquarters,raw_question,1217.125,-9.095703125,0.0,0.75,0.28318903318903316,0.3463228300369365
official_language,chat_template,26.375,-6.203125,0.25,0.25,0.25,0.5406155731523379
official_language,declarative,10.75,-1.15625,0.0,0.75,0.24821428571428572,0.3812270090548953
official_language,qa,1.125,2.328125,0.0,0.625,0.13402777777777777,0.23816504461611526
official_language,raw_question,41.25,-4.46875,0.0,0.25,0.05277777777777777,0.21070542363773884
