fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth,model_name,model_variant
capital:0,capital,preanswer,0.0148912023545967,0.1424907346566518,12,gemma_270m_base,base
capital:0,capital,subject,0.0397747752981053,0.1602380139132341,0,gemma_270m_base,base
capital:1,capital,preanswer,0.0140250315199847,0.1377007824679215,12,gemma_270m_base,base
capital:1,capital,subject,0.0340864788051004,0.1365869827568531,0,gemma_270m_base,base
capital:2,capital,preanswer,0.012299843787871,0.1408687569200992,12,gemma_270m_base,base
capital:2,capital,subject,0.0338758837293695,0.1346823287506898,0,gemma_270m_base,base
capital:3,capital,preanswer,0.0156722082928926,0.1423129960894584,12,gemma_270m_base,base
capital:3,capital,subject,0.0489034870018561,0.2183197649816672,0,gemma_270m_base,base
currency:0,currency,preanswer,0.0143242456294872,0.1263743030528227,12,gemma_270m_base,base
currency:0,currency,subject,0.0378214363698606,0.1485261941949526,0,gemma_270m_base,base
currency:1,currency,preanswer,0.0125126385440429,0.1250920109450817,12,gemma_270m_base,base
currency:1,currency,subject,0.0323653219060765,0.1253023818135261,0,gemma_270m_base,base
currency:2,currency,preanswer,0.0123711509837044,0.1263079084455967,12,gemma_270m_base,base
currency:2,currency,subject,0.0328153042743603,0.1320265866816043,0,gemma_270m_base,base
currency:3,currency,preanswer,0.0143632846711962,0.1316346637904644,12,gemma_270m_base,base
currency:3,currency,subject,0.0437117028567526,0.1830114138623079,0,gemma_270m_base,base
official_language:0,official_language,preanswer,0.0114534675247139,0.1028813223044077,12,gemma_270m_base,base
official_language:0,official_language,subject,0.0413665201652932,0.1656662672758102,0,gemma_270m_base,base
official_language:1,official_language,preanswer,0.0088120234647282,0.0995098749796549,12,gemma_270m_base,base
official_language:1,official_language,subject,0.0349663945811766,0.1401439855496088,0,gemma_270m_base,base
official_language:2,official_language,preanswer,0.0081174326025777,0.0965026654303073,12,gemma_270m_base,base
official_language:2,official_language,subject,0.035249079681105,0.1487080107132593,0,gemma_270m_base,base
official_language:3,official_language,preanswer,0.0102300140316839,0.0992710478603839,12,gemma_270m_base,base
official_language:3,official_language,subject,0.0471223240925206,0.1994931449492771,0,gemma_270m_base,base
capital:0,capital,preanswer,-0.0876176157503828,0.0219606620570024,21,qwen2_5_0_5b_base,base
capital:0,capital,subject,0.0432893978318639,0.1343720400085052,0,qwen2_5_0_5b_base,base
capital:1,capital,preanswer,-0.0916811351077437,0.0111431311815977,21,qwen2_5_0_5b_base,base
capital:1,capital,subject,0.0393924205660975,0.1299602407962083,0,qwen2_5_0_5b_base,base
capital:2,capital,preanswer,-0.0882690657728946,0.0318594065805276,21,qwen2_5_0_5b_base,base
capital:2,capital,subject,0.0393814808258967,0.128459380318721,0,qwen2_5_0_5b_base,base
capital:3,capital,preanswer,-0.0878546458690026,0.0572489462792873,21,qwen2_5_0_5b_base,base
capital:3,capital,subject,0.5756889800250065,0.9649255473632364,0,qwen2_5_0_5b_base,base
currency:0,currency,preanswer,-0.0868698633793327,0.0161637179553508,21,qwen2_5_0_5b_base,base
currency:0,currency,subject,0.0372793963227498,0.1339168824876347,0,qwen2_5_0_5b_base,base
currency:1,currency,preanswer,-0.0889070232790092,0.0057895928621292,-1,qwen2_5_0_5b_base,base
currency:1,currency,subject,0.0325588938091338,0.1296531387294331,0,qwen2_5_0_5b_base,base
currency:2,currency,preanswer,-0.0873881359778655,0.0089377326269943,21,qwen2_5_0_5b_base,base
currency:2,currency,subject,0.0354456345424599,0.1281753604610761,0,qwen2_5_0_5b_base,base
currency:3,currency,preanswer,-0.0928996900345535,0.0384000986814498,21,qwen2_5_0_5b_base,base
currency:3,currency,subject,0.5619901852381494,0.962103965653417,0,qwen2_5_0_5b_base,base
official_language:0,official_language,preanswer,-0.0888232120265052,0.005975650002559,-1,qwen2_5_0_5b_base,base
official_language:0,official_language,subject,0.0446071551373784,0.1388371167704463,0,qwen2_5_0_5b_base,base
official_language:1,official_language,preanswer,-0.0895597020989953,0.0048891827464103,21,qwen2_5_0_5b_base,base
official_language:1,official_language,subject,0.038676676757556,0.1331270920733611,0,qwen2_5_0_5b_base,base
official_language:2,official_language,preanswer,-0.0910047839897743,0.0029948415855566,21,qwen2_5_0_5b_base,base
official_language:2,official_language,subject,0.0401007130430015,0.1319025997072458,0,qwen2_5_0_5b_base,base
official_language:3,official_language,preanswer,-0.0917074876882301,0.0211130132277805,21,qwen2_5_0_5b_base,base
official_language:3,official_language,subject,0.584434937764955,0.966626520307424,0,qwen2_5_0_5b_base,base
