model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
smollm2_360m_instruct,capital,raw_question,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,3781,4591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:14,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.25,0.25,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,540,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,64,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,raw_question,invariant,capital:15,0.0,0.0,0.0,0.0,0.0,0.0,93,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:15,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:15,0.0,0.0,0.0,0.0,0.0,0.0,70,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:15,1.0,1.0,0.0,1.0,1.0,0.0,128,86,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,raw_question,invariant,capital:16,0.0,0.0,0.0,0.0,0.0,0.0,485,649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:16,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:16,0.0,0.0,0.0,0.0,0.0,0.0,79,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:16,1.0,1.0,0.0,1.0,1.0,0.0,33,36,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,raw_question,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,480,528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:17,0.5,0.2857142857142857,0.2142857142857143,1.0,1.0,0.0,1,1,0.5,0.2857142857142857,0.2142857142857143,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,168,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,653,706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:14,0.0,0.0,0.0,0.0,0.0,0.0,506,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,declarative,invariant,official_language:14,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,qa,invariant,official_language:14,0.0,0.0,0.0,0.0,0.0,0.0,144,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:14,0.25,0.25,0.0,1.0,1.0,0.0,153,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,declarative,invariant,official_language:15,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,qa,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,11,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:15,0.25,0.25,0.0,1.0,1.0,0.0,19,20,0.25,0.25,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:16,0.0,0.0,0.0,0.0,0.0,0.0,1512,1496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,declarative,invariant,official_language:16,0.25,0.19999999999999998,0.05000000000000002,1.0,1.0,0.0,1,1,0.25,0.19999999999999998,0.05000000000000002,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,qa,invariant,official_language:16,0.0,0.0,0.0,0.0,0.0,0.0,308,613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:16,0.25,0.25,0.0,1.0,1.0,0.0,194,213,0.25,0.25,0.0,0.0,0.0,0.0,0.0
