model_name,model_variant,relation,fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta
gemma_270m_base,base,capital,capital:0,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.11529356241226196,-0.1629282832145691,-0.27822184562683105,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.13827699422836304,0.13821488618850708,-6.210803985595703e-05
gemma_270m_base,base,capital,capital:1,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.08662420511245728,-0.2313551902770996,-0.3179793953895569,0.0,0.0,0.0,0.0,0.0,0.0,0.1529325246810913,0.19353199005126953,0.04059946537017822
gemma_270m_base,base,capital,capital:2,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.12587374448776245,-0.008437097072601318,-0.13431084156036377,0.0,0.0,0.0,0.0,0.0,0.0,0.15427857637405396,0.1991000771522522,0.04482150077819824
gemma_270m_base,base,capital,capital:3,declarative,qa,0,12,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08480185270309448,0.09145081043243408,0.0066489577293396,0.0,0.0,0.0,0.0,0.0,0.0,0.1444786787033081,0.18320858478546143,0.03872990608215332
gemma_270m_base,base,official_language,official_language:0,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.10164129734039307,-0.12537676095962524,-0.2270180583000183,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.0921286940574646,0.07397812604904175,-0.01815056800842285
gemma_270m_base,base,official_language,official_language:1,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.08124351501464844,-0.18361276388168335,-0.2648562788963318,0.0,0.0,0.0,0.0,0.0,0.0,0.10052156448364258,0.12688350677490234,0.026361942291259766
gemma_270m_base,base,official_language,official_language:2,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.08062994480133057,0.06404083967208862,-0.016589105129241943,0.0,0.0,0.0,0.0,0.0,0.0,0.09091764688491821,0.12283176183700562,0.0319141149520874
gemma_270m_base,base,official_language,official_language:3,declarative,qa,0,12,0.0,0.0,0.0,-0.18181818181818182,-0.18181818181818182,0.0,0.06628620624542236,0.0720859169960022,0.005799710750579834,0.0,0.0,0.0,0.0,0.0,0.0,0.0993262529373169,0.11265617609024048,0.013329923152923584
gemma_270m_base,base,currency,currency:0,declarative,qa,0,12,0.25,0.0,-0.25,0.25,0.0,-0.25,0.10335022211074829,-0.16410595178604126,-0.26745617389678955,0.5,0.5,0.0,0.5,0.5,0.0,0.10699266195297241,0.1156584620475769,0.008665800094604492
gemma_270m_base,base,currency,currency:1,declarative,qa,0,12,0.28571428571428575,0.0,-0.28571428571428575,0.28571428571428575,0.0,-0.28571428571428575,0.10339975357055664,-0.2223721146583557,-0.32577186822891235,0.22222222222222224,0.4,0.17777777777777778,0.22222222222222224,0.4,0.17777777777777778,0.11654597520828247,0.16136252880096436,0.044816553592681885
gemma_270m_base,base,currency,currency:2,declarative,qa,0,12,0.2,0.0,-0.2,0.2,0.0,-0.2,0.11325967311859131,0.019494235515594482,-0.09376543760299683,0.1818181818181818,0.0,-0.1818181818181818,0.1818181818181818,0.0,-0.1818181818181818,0.11428958177566528,0.15229564905166626,0.03800606727600098
gemma_270m_base,base,currency,currency:3,declarative,qa,0,12,0.19999999999999998,0.19999999999999998,0.0,0.033333333333333326,0.033333333333333326,0.0,0.09188395738601685,0.09758752584457397,0.005703568458557129,0.0,0.0,0.0,0.0,0.0,0.0,0.12120908498764038,0.14085376262664795,0.01964467763900757
