layer,neuron,mean_abs_activation,activation_std,sharedness
0,1702,5.4140625,0.8720863879047477,6.208165116351094
0,1392,4.88046875,1.383878252793463,3.5266579364842796
0,1734,3.29921875,0.4850115524961106,6.802336832357462
0,1679,2.9859375,0.8979264851067987,3.3253659672137723
17,345,2.87265625,0.1793321894688388,16.018542125461707
0,332,2.87109375,0.7621833519003564,3.7669282278512988
0,1165,2.868359375,1.7875970987476937,1.6045885129377997
0,141,2.840625,0.793183853214373,3.581290021472798
0,550,2.8187179565429688,1.6403976952092927,1.7183127277380201
0,1453,2.797265625,0.48346357673489415,5.7858750353366
1,74,2.78828125,0.5275254316662729,5.2855763856093185
0,1808,2.77265625,0.47078918430087957,5.889367158572724
17,2024,2.7453125,0.2185881097378126,12.55923729820243
1,92,2.703125,0.7632896461923055,3.541409833180331
10,1112,2.6953125,0.11337549958544835,23.773114444838075
2,2035,2.6625,0.17119182406002922,15.552637878480159
17,1026,2.659375,0.1380493288194477,19.263807791998268
10,1189,2.6390625,0.26340524713594826,10.01898219459441
0,983,2.58720703125,2.318905369162304,1.1157013778803924
0,1589,2.57265625,0.4509450525614928,5.705020002695738
0,1707,2.534765625,0.5477196323433157,4.627843968841379
0,149,2.51953125,0.677301397176462,3.719950291780187
0,216,2.489453125,0.8067754881207174,3.0856788238820174
11,1515,2.470703125,0.3691178895114972,6.693515816190825
4,1257,2.4640625,0.2147002361578813,11.476703833172357
0,1516,2.45045166015625,1.7058292294095165,1.4365155558325922
0,1302,2.42265625,1.9570190088190011,1.2379312623696657
17,492,2.25234375,0.08966013846569443,25.120624035593497
2,1950,2.250390625,0.20078998947419383,11.207627547894653
11,2011,2.244921875,0.3720528313642727,6.0338630750506335
0,1236,2.23671875,0.39022714113665585,5.731823295687722
8,65,2.22578125,0.09023014735767364,24.667549013613534
3,735,2.219921875,0.21073883874192928,10.533945020801228
6,1548,2.18828125,0.09050031832644292,24.179551087938375
0,1216,2.1869140625,0.9621041214521102,2.273051056208161
17,798,2.184765625,0.1026169718902379,21.290282635256776
10,1015,2.166015625,0.15144718148350228,14.302024651487484
10,780,2.135546875,0.5924187120778022,3.604786997228647
10,288,2.1314453125,0.9846983557138731,2.164564544631773
7,1405,2.1203125,0.2433615695125773,8.712566210353145
0,451,2.10546875,1.1948611535528013,1.7621017987218044
1,923,2.07421875,0.4542852870942581,4.5658845730679705
0,1765,2.073779296875,3.486950892969344,0.5947255254815275
13,1929,2.053515625,0.38039956217679444,5.398298081498658
17,1402,2.044921875,0.15978186042201997,12.798130347641376
1,858,2.031640625,0.6991313449210899,2.9059456907680454
17,1693,2.011328125,0.17045713110609914,11.799543453565606
7,991,1.965625,0.9211543793659128,2.133869099644252
11,605,1.953515625,0.35381634309154214,5.521254577095654
15,881,1.927734375,0.1768435781221554,10.900726476716846
0,646,1.894921875,0.5068950546568263,3.7382849157957665
6,410,1.891015625,0.04919239125537481,38.440440407600285
14,490,1.88671875,0.07089601622931643,26.612103729406712
0,670,1.875,0.7177897797884489,2.612181784436699
0,1601,1.8693359375,0.9499986548163276,1.9677227544481755
16,1682,1.864453125,0.14997711006990994,12.431501664682363
10,1672,1.862890625,0.6939834339462267,2.6843406478254606
12,1542,1.82880859375,1.0168904141674555,1.7984305583377096
14,1087,1.8228515625,0.6145007717043918,2.9663894335798418
12,881,1.81796875,0.2202806382102442,8.252929135495485
4,6,1.811328125,0.5624472360235642,3.2204352489499373
0,873,1.784375,0.29504369379805423,6.0478125433475185
4,990,1.76484375,0.48050304755634743,3.6729009026568953
1,283,1.75703125,2.1770735973767112,0.807060654750716
6,1453,1.755859375,0.3473433897743296,5.055096401991078
17,1977,1.74453125,0.194954359141922,8.948362628646851
1,1160,1.73671875,0.2138414118314376,8.121488787588955
4,60,1.729296875,0.7695650571571357,2.2471064815257296
12,1212,1.727734375,0.21315780252971478,8.105386005624377
13,986,1.7228515625,0.9106242719344957,1.8919434981636776
15,713,1.71796875,0.18233277066345616,9.422109484978254
11,1575,1.71640625,0.388934623814289,4.413085726545734
4,1097,1.7015625,0.33921547528359464,5.0161552400349825
0,53,1.700634765625,0.9981594062564902,1.7037690084332997
6,1666,1.6861328125,0.8393533042893122,2.008845137129143
7,1228,1.68046875,0.5262700295883938,3.193162183588797
8,504,1.680078125,0.180559619303561,9.304787120692302
7,63,1.66328125,0.32925679063564883,5.051607880830858
8,1802,1.662109375,0.14888655349139784,11.163521301973912
1,774,1.6578125,0.5208869764041908,3.1826660915543874
7,1164,1.645703125,0.36005603777995016,4.570673399823325
3,5,1.63984375,0.03874086333817949,42.32743623314473
0,379,1.62265625,0.29884318793735704,5.429773492332858
17,288,1.621484375,0.09753038764237469,16.62525689622722
6,1865,1.620703125,0.22912711987136503,7.07334885787864
8,1499,1.619921875,0.10840178063538382,14.943545410044955
0,1186,1.601025390625,1.0690861703080417,1.4975630005584002
13,756,1.59609375,0.19026445154951438,8.388773353236099
17,1433,1.587109375,0.3376163988370113,4.700911091866434
0,1206,1.58046875,0.4350805028328809,3.632580883603029
0,273,1.58037109375,0.8049769264373716,1.963247738660763
10,1454,1.57109375,0.08359375,18.794167695937844
17,774,1.5663055419921874,1.006490512589306,1.556203427848786
0,160,1.565625,0.32718802232527555,4.785078022708022
4,1859,1.565234375,0.17218145619497435,9.090556666397967
0,898,1.5591796875,0.49360731936427,3.1587386726141586
11,1912,1.552734375,0.19535741671017223,7.948131445514268
6,1518,1.541015625,0.3217087992481273,4.790079844013239
0,1389,1.5359375,0.19506859770988252,7.87379231839256
11,1966,1.53359375,0.2087283039810665,7.347285315238294
16,888,1.528125,0.1153343051876804,13.249412203083393
12,505,1.51953125,0.16377392776038102,9.278167731651973
11,1312,1.51875,0.1887555617971958,8.046077898111847
10,748,1.51796875,0.22841510876923726,6.64562914664466
1,545,1.5135498046875,0.8704472610404027,1.7388165068862687
2,400,1.503515625,0.28936296672807305,5.195932451440695
4,723,1.5027099609375,0.9614078949000217,1.5630289764416723
15,1429,1.501171875,0.10575121319302618,14.195181638988098
10,1474,1.499609375,0.14039640708738552,10.68117571478097
8,420,1.498828125,0.37456252965699444,4.001532467329502
0,174,1.49697265625,1.0702560922279536,1.3987037947431427
5,1966,1.495703125,0.054209687192852116,27.5905582911927
0,93,1.4943359375,1.399225940611322,1.0679725312086437
0,427,1.4918651580810547,1.1205221033675756,1.331400623153117
4,989,1.48125,0.1986035230679456,7.458289353728576
12,142,1.47841796875,0.9108775883074176,1.623068088028259
4,1293,1.4716796875,0.8268156244552117,1.7799348053381094
12,258,1.470703125,0.1673384795797036,8.788739684704863
0,644,1.469287109375,0.7687670000259033,1.9112230339003353
14,364,1.4671875,0.11247286999261201,13.044696515700705
10,22,1.462890625,0.36582088602798074,3.998914993533513
4,1784,1.459210205078125,1.365085063117754,1.0689510679974261
7,224,1.45859375,0.061817563303744834,23.59475329171297
0,583,1.4478515625,1.5934132583010068,0.9086472993179976
