fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth,split_eval,analysis_variant
birth_place:0,birth_place,preanswer,-0.041153353336495446,0.0400303697907457,26,all,all_families
birth_place:0,birth_place,subject,0.2250147197234636,0.48186472538566477,0,all,all_families
birth_place:1,birth_place,preanswer,-0.04454457022217741,0.03511241699258483,26,all,all_families
birth_place:1,birth_place,subject,0.22281520831165835,0.4514669881512722,0,all,all_families
birth_place:10,birth_place,preanswer,-0.04053377387269089,0.049347008231516054,26,all,all_families
birth_place:10,birth_place,subject,0.2578127206561119,0.5343622659497401,0,all,all_families
birth_place:11,birth_place,preanswer,-0.041669906421756275,0.049112969425086805,26,all,all_families
birth_place:11,birth_place,subject,0.21092430479121488,0.5354085487916189,0,all,all_families
birth_place:12,birth_place,preanswer,-0.04401532907321977,0.05140658121044728,26,all,all_families
birth_place:12,birth_place,subject,0.20821611075913168,0.4873650896856013,0,all,all_families
birth_place:13,birth_place,preanswer,-0.03637558854226132,0.07880747102785346,26,all,all_families
birth_place:13,birth_place,subject,0.21530885259191707,0.4809545191990979,0,all,all_families
birth_place:14,birth_place,preanswer,-0.03982623213189927,0.05467196374985517,26,all,all_families
birth_place:14,birth_place,subject,0.23041815686669637,0.5534574560382787,0,all,all_families
birth_place:15,birth_place,preanswer,-0.03430730952452138,0.07314410020469453,26,all,all_families
birth_place:15,birth_place,subject,0.2250579956852758,0.5459240643928448,0,all,all_families
birth_place:16,birth_place,preanswer,-0.04622956126124835,0.032540224236892734,27,all,all_families
birth_place:16,birth_place,subject,0.2162420241351641,0.473678290478739,0,all,all_families
birth_place:17,birth_place,preanswer,-0.04124140990304524,0.05804348130728676,26,all,all_families
birth_place:17,birth_place,subject,0.19957879426268238,0.5207619061876161,0,all,all_families
birth_place:2,birth_place,preanswer,-0.04879577187182127,0.021246009451501457,27,all,all_families
birth_place:2,birth_place,subject,0.221430974358501,0.47530074523506205,0,all,all_families
birth_place:3,birth_place,preanswer,-0.047140594902813575,0.028982716155987243,26,all,all_families
birth_place:3,birth_place,subject,0.2121916671269847,0.47384448049991734,0,all,all_families
birth_place:4,birth_place,preanswer,-0.0477516392791443,0.015390774600353985,27,all,all_families
birth_place:4,birth_place,subject,0.20781793517480587,0.48796783489923856,0,all,all_families
birth_place:5,birth_place,preanswer,-0.03750366213110585,0.07437554542340485,26,all,all_families
birth_place:5,birth_place,subject,0.2246134622574912,0.5560132103661696,0,all,all_families
birth_place:6,birth_place,preanswer,-0.048062880104635934,0.03239871437350905,27,all,all_families
