relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,4
birth_place,chat_template,contains_expected,0.0,0.0,0.0,4
birth_place,chat_template,answer_f1,0.0,0.0,0.0,4
birth_place,chat_template,answer_similarity,0.20596035624211853,0.11970735143442623,0.29290865384615383,4
birth_place,declarative,full_exact_match,0.0,0.0,0.0,4
birth_place,declarative,contains_expected,0.25,0.0,0.75,4
birth_place,declarative,answer_f1,0.1,0.0,0.30000000000000004,4
birth_place,declarative,answer_similarity,0.2723648444578677,0.19090909090909092,0.3714285714285714,4
birth_place,qa,full_exact_match,0.0,0.0,0.0,4
birth_place,qa,contains_expected,0.0,0.0,0.0,4
birth_place,qa,answer_f1,0.0,0.0,0.0,4
birth_place,qa,answer_similarity,0.19441170900061028,0.15060173299101412,0.24030387844862056,4
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,4
birth_place,raw_question,contains_expected,0.0,0.0,0.0,4
birth_place,raw_question,answer_f1,0.0,0.0,0.0,4
birth_place,raw_question,answer_similarity,0.07366071428571429,0.0,0.14732142857142858,4
capital,chat_template,full_exact_match,0.0,0.0,0.0,4
capital,chat_template,contains_expected,0.25,0.0,0.75,4
capital,chat_template,answer_f1,0.21666666666666667,0.0,0.5262499999999996,4
capital,chat_template,answer_similarity,0.45312271464092435,0.23957876261518207,0.6666666666666666,4
capital,declarative,full_exact_match,0.0,0.0,0.0,4
capital,declarative,contains_expected,0.5,0.0,0.75,4
capital,declarative,answer_f1,0.15277777777777776,0.05555555555555555,0.20833333333333331,4
capital,declarative,answer_similarity,0.2709074138129828,0.2220408163265306,0.34316101694915246,4
capital,qa,full_exact_match,0.0,0.0,0.0,4
capital,qa,contains_expected,0.0,0.0,0.0,4
capital,qa,answer_f1,0.0,0.0,0.0,4
capital,qa,answer_similarity,0.2111832570556827,0.14332246376811594,0.34155701754385964,4
capital,raw_question,full_exact_match,0.0,0.0,0.0,4
capital,raw_question,contains_expected,0.0,0.0,0.0,4
capital,raw_question,answer_f1,0.16666666666666666,0.0,0.5,4
capital,raw_question,answer_similarity,0.3611815156169995,0.14552083333333332,0.7853302611367128,4
currency,chat_template,full_exact_match,0.0,0.0,0.0,4
currency,chat_template,contains_expected,0.0,0.0,0.0,4
currency,chat_template,answer_f1,0.125,0.0,0.375,4
currency,chat_template,answer_similarity,0.3810484749455338,0.12384259259259259,0.5505296160130719,4
currency,declarative,full_exact_match,0.0,0.0,0.0,4
currency,declarative,contains_expected,0.25,0.0,0.75,4
currency,declarative,answer_f1,0.23392857142857143,0.19999999999999998,0.26428571428571435,4
currency,declarative,answer_similarity,0.38063978728920617,0.21386647101980927,0.5025602800103705,4
currency,qa,full_exact_match,0.0,0.0,0.0,4
currency,qa,contains_expected,0.0,0.0,0.0,4
currency,qa,answer_f1,0.226010101010101,0.04545454545454545,0.375,4
currency,qa,answer_similarity,0.3626797385620915,0.10686274509803922,0.5511111111111111,4
currency,raw_question,full_exact_match,0.0,0.0,0.0,4
currency,raw_question,contains_expected,0.25,0.0,0.75,4
currency,raw_question,answer_f1,0.16666666666666666,0.0,0.5,4
currency,raw_question,answer_similarity,0.4235569813209564,0.29638932496075354,0.6055346051464063,4
headquarters,chat_template,full_exact_match,0.25,0.0,0.75,4
headquarters,chat_template,contains_expected,0.25,0.0,0.75,4
headquarters,chat_template,answer_f1,0.25,0.0,0.75,4
headquarters,chat_template,answer_similarity,0.4620535714285714,0.265625,0.8214285714285714,4
headquarters,declarative,full_exact_match,0.0,0.0,0.0,4
headquarters,declarative,contains_expected,0.5,0.0,0.75,4
headquarters,declarative,answer_f1,0.2,0.0,0.30000000000000004,4
headquarters,declarative,answer_similarity,0.41407485468007044,0.24321266968325794,0.516152362584378,4
headquarters,qa,full_exact_match,0.0,0.0,0.0,4
headquarters,qa,contains_expected,0.5,0.0,0.75,4
headquarters,qa,answer_f1,0.2361111111111111,0.0,0.375,4
headquarters,qa,answer_similarity,0.46078635055458117,0.2408575031525851,0.6232667022590705,4
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,4
headquarters,raw_question,contains_expected,0.25,0.0,0.75,4
headquarters,raw_question,answer_f1,0.05555555555555555,0.0,0.16666666666666666,4
headquarters,raw_question,answer_similarity,0.22331644585497878,0.16242821985233796,0.28420467185761955,4
official_language,chat_template,full_exact_match,0.0,0.0,0.0,4
official_language,chat_template,contains_expected,0.0,0.0,0.0,4
official_language,chat_template,answer_f1,0.0,0.0,0.0,4
official_language,chat_template,answer_similarity,0.17642857142857143,0.055,0.23860714285714282,4
official_language,declarative,full_exact_match,0.0,0.0,0.0,4
official_language,declarative,contains_expected,0.25,0.0,0.75,4
official_language,declarative,answer_f1,0.05555555555555555,0.0,0.16666666666666666,4
official_language,declarative,answer_similarity,0.20705998224992964,0.1780529579842847,0.2462962962962963,4
official_language,qa,full_exact_match,0.0,0.0,0.0,4
official_language,qa,contains_expected,0.25,0.0,0.75,4
official_language,qa,answer_f1,0.05555555555555555,0.0,0.16666666666666666,4
official_language,qa,answer_similarity,0.16625188964474677,0.07648469387755102,0.23891250944822362,4
official_language,raw_question,full_exact_match,0.0,0.0,0.0,4
official_language,raw_question,contains_expected,0.25,0.0,0.75,4
official_language,raw_question,answer_f1,0.05555555555555555,0.0,0.16666666666666666,4
official_language,raw_question,answer_similarity,0.186421140560243,0.12384230287859824,0.2541371158392435,4
