source_case_id,target_case_id,relation_id,layer,patched_margin,patched_rank
17886,1219,P140,0,2.75,2219
17886,1219,P140,1,2.75,2219
17886,1219,P140,2,2.75,2219
17886,1219,P140,3,2.75,2219
17886,1219,P140,4,2.75,2219
17886,1219,P140,5,2.75,2219
17886,1219,P140,6,2.75,2219
17886,1219,P140,7,2.75,2219
17886,1219,P140,8,2.75,2219
17886,1219,P140,9,2.75,2219
17886,1219,P140,10,2.75,2219
17886,1219,P140,11,2.75,2219
17886,1219,P140,12,2.75,2219
17886,1219,P140,13,2.75,2219
17886,1219,P140,14,2.75,2219
17886,1219,P140,15,2.75,2219
17886,1219,P140,16,2.75,2219
17886,1219,P140,17,2.75,2219
20899,1219,P39,0,3.796875,23549
20899,1219,P39,1,3.796875,23549
20899,1219,P39,2,3.796875,23549
20899,1219,P39,3,3.796875,23549
20899,1219,P39,4,3.796875,23549
20899,1219,P39,5,3.796875,23549
20899,1219,P39,6,3.796875,23549
20899,1219,P39,7,3.796875,23549
20899,1219,P39,8,3.796875,23549
20899,1219,P39,9,3.796875,23549
20899,1219,P39,10,3.796875,23549
20899,1219,P39,11,3.796875,23549
20899,1219,P39,12,3.796875,23549
20899,1219,P39,13,3.796875,23549
20899,1219,P39,14,3.796875,23549
20899,1219,P39,15,3.796875,23549
20899,1219,P39,16,3.796875,23549
20899,1219,P39,17,3.796875,23549
11953,1219,P17,0,8.0625,567
11953,1219,P17,1,8.0625,567
11953,1219,P17,2,8.0625,567
11953,1219,P17,3,8.0625,567
11953,1219,P17,4,8.0625,567
11953,1219,P17,5,8.0625,567
11953,1219,P17,6,8.0625,567
11953,1219,P17,7,8.0625,567
11953,1219,P17,8,8.0625,567
11953,1219,P17,9,8.0625,567
11953,1219,P17,10,8.0625,567
11953,1219,P17,11,8.0625,567
11953,1219,P17,12,8.0625,567
11953,1219,P17,13,8.0625,567
11953,1219,P17,14,8.0625,567
11953,1219,P17,15,8.0625,567
11953,1219,P17,16,8.0625,567
11953,1219,P17,17,8.0625,567
12671,1219,P364,0,4.15625,1781
12671,1219,P364,1,4.15625,1781
12671,1219,P364,2,4.15625,1781
12671,1219,P364,3,4.15625,1781
12671,1219,P364,4,4.15625,1781
12671,1219,P364,5,4.15625,1781
12671,1219,P364,6,4.15625,1781
12671,1219,P364,7,4.15625,1781
12671,1219,P364,8,4.15625,1781
12671,1219,P364,9,4.15625,1781
12671,1219,P364,10,4.15625,1781
12671,1219,P364,11,4.15625,1781
12671,1219,P364,12,4.15625,1781
12671,1219,P364,13,4.15625,1781
12671,1219,P364,14,4.15625,1781
12671,1219,P364,15,4.15625,1781
12671,1219,P364,16,4.15625,1781
12671,1219,P364,17,4.15625,1781
