country,prompt,layer,hidden_norm,attention_norm,mlp_mean_abs
Afghanistan,What is the capital of Afghanistan?,0,154.10948181152344,193.6166229248047,0.25568264722824097
Afghanistan,What is the capital of Afghanistan?,1,1067.5889892578125,105.24807739257812,0.19785256683826447
Afghanistan,What is the capital of Afghanistan?,2,1331.8486328125,16.047161102294922,0.16086500883102417
Afghanistan,What is the capital of Afghanistan?,3,1614.8094482421875,13.712949752807617,0.19942107796669006
Afghanistan,What is the capital of Afghanistan?,4,2333.033203125,9.74887466430664,0.18468350172042847
Afghanistan,What is the capital of Afghanistan?,5,2744.24609375,20.30721664428711,0.14476998150348663
Afghanistan,What is the capital of Afghanistan?,6,3199.39892578125,8.18453598022461,0.15763162076473236
Afghanistan,What is the capital of Afghanistan?,7,4997.1005859375,16.529233932495117,0.16768446564674377
Afghanistan,What is the capital of Afghanistan?,8,5980.64599609375,16.283517837524414,0.17038652300834656
Afghanistan,What is the capital of Afghanistan?,9,5403.0537109375,12.136427879333496,0.13166587054729462
Afghanistan,What is the capital of Afghanistan?,10,10514.8916015625,24.626266479492188,0.19335705041885376
Afghanistan,What is the capital of Afghanistan?,11,10963.8193359375,3.545529365539551,0.17100906372070312
Afghanistan,What is the capital of Afghanistan?,12,12971.3369140625,27.506139755249023,0.12949605286121368
Afghanistan,What is the capital of Afghanistan?,13,16454.23828125,25.733226776123047,0.10633355379104614
Afghanistan,What is the capital of Afghanistan?,14,17386.611328125,44.409000396728516,0.10952134430408478
Afghanistan,What is the capital of Afghanistan?,15,18650.16796875,33.66351318359375,0.1025046706199646
Afghanistan,What is the capital of Afghanistan?,16,25015.701171875,39.984046936035156,0.09123977273702621
Afghanistan,What is the capital of Afghanistan?,17,166.82061767578125,10.46361255645752,0.12273183465003967
Albania,What is the capital of Albania?,0,154.36663818359375,192.4629669189453,0.2564489245414734
Albania,What is the capital of Albania?,1,1067.6204833984375,110.75120544433594,0.1959824115037918
Albania,What is the capital of Albania?,2,1301.2890625,16.35715675354004,0.16093190014362335
Albania,What is the capital of Albania?,3,1604.80859375,13.675591468811035,0.20128723978996277
Albania,What is the capital of Albania?,4,2304.90478515625,10.212458610534668,0.1854267716407776
Albania,What is the capital of Albania?,5,2726.11767578125,20.595186233520508,0.1434028297662735
Albania,What is the capital of Albania?,6,3220.887451171875,8.329994201660156,0.15942621231079102
Albania,What is the capital of Albania?,7,5023.943359375,16.564237594604492,0.16842155158519745
Albania,What is the capital of Albania?,8,5867.91796875,16.393081665039062,0.17027080059051514
Albania,What is the capital of Albania?,9,5264.60498046875,12.18384075164795,0.13286153972148895
Albania,What is the capital of Albania?,10,10455.9306640625,25.401058197021484,0.19926035404205322
Albania,What is the capital of Albania?,11,10781.30859375,3.456592082977295,0.17046689987182617
Albania,What is the capital of Albania?,12,13013.6982421875,26.33754539489746,0.12815174460411072
Albania,What is the capital of Albania?,13,16262.6591796875,25.596290588378906,0.10658122599124908
Albania,What is the capital of Albania?,14,17263.466796875,45.137672424316406,0.10709641873836517
Albania,What is the capital of Albania?,15,18292.259765625,34.06049728393555,0.10003317892551422
Albania,What is the capital of Albania?,16,24758.400390625,39.081878662109375,0.08988101035356522
Albania,What is the capital of Albania?,17,172.5299530029297,10.35899543762207,0.11692796647548676
