model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
gemma_270m_base,capital,raw_question,invariant,capital:14,0.0,1.0,-1.0,0.0,1.0,-1.0,57,67,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,chat_template,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,66,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,raw_question,invariant,capital:15,0.0,0.0,0.0,0.0,0.0,0.0,17,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:15,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:15,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,chat_template,invariant,capital:15,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,9,19,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
gemma_270m_base,capital,raw_question,invariant,capital:16,0.0,0.0,0.0,0.0,0.0,0.0,27,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:16,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:16,0.0,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,chat_template,invariant,capital:16,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,25,53,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
gemma_270m_base,capital,raw_question,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,43,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,declarative,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,qa,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,capital,chat_template,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,82,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,raw_question,invariant,official_language:14,0.0,0.0,0.0,0.0,0.0,0.0,25,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,declarative,invariant,official_language:14,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.022222222222222227,0.022222222222222227
gemma_270m_base,official_language,qa,invariant,official_language:14,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,chat_template,invariant,official_language:14,0.19999999999999998,0.0,0.19999999999999998,1.0,0.0,1.0,8,31,0.0,0.0,0.0,0.0,0.0,-0.19999999999999998,-0.19999999999999998
gemma_270m_base,official_language,raw_question,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,declarative,invariant,official_language:15,0.2222222222222222,0.19999999999999998,0.022222222222222227,1.0,1.0,0.0,2,1,0.2222222222222222,0.19999999999999998,0.022222222222222227,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,qa,invariant,official_language:15,0.2222222222222222,0.19999999999999998,0.022222222222222227,1.0,1.0,0.0,1,1,0.2222222222222222,0.19999999999999998,0.022222222222222227,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,chat_template,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,raw_question,invariant,official_language:16,0.0,0.0,0.0,0.0,0.0,0.0,49,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_base,official_language,declarative,invariant,official_language:16,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
