relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.09999999999999999,0.013888888888888888,0.20555555555555555,0.125,18
birth_place,answer_f1,chat_template,qa,0.06327160493827161,0.0,0.16203703703703703,0.25,18
birth_place,answer_f1,chat_template,raw_question,0.06481481481481481,0.0,0.16666666666666663,0.5,18
birth_place,answer_f1,declarative,qa,-0.0367283950617284,-0.0935185185185185,0.013888888888888888,0.375,18
birth_place,answer_f1,declarative,raw_question,-0.03518518518518518,-0.16576388888888885,0.09261574074074072,0.6875,18
birth_place,answer_f1,qa,raw_question,0.0015432098765432107,-0.1111111111111111,0.1111111111111111,1.0,18
capital,answer_f1,chat_template,declarative,-0.1730078563411897,-0.2827665544332211,-0.05427469135802474,0.0654296875,18
capital,answer_f1,chat_template,qa,-0.29506172839506173,-0.42962962962962964,-0.1469135802469136,0.00390625,18
capital,answer_f1,chat_template,raw_question,-0.22098765432098763,-0.3580246913580247,-0.06888888888888912,0.0703125,18
capital,answer_f1,declarative,qa,-0.12205387205387204,-0.17744528619528618,-0.06727974186307518,0.001953125,18
capital,answer_f1,declarative,raw_question,-0.04797979797979797,-0.13671997755331083,0.06362654320987651,0.109375,18
capital,answer_f1,qa,raw_question,0.07407407407407407,0.0,0.18518518518518517,0.5,18
currency,answer_f1,chat_template,declarative,0.12810646143979476,0.016496612954946272,0.23414061247394577,0.049041748046875,18
currency,answer_f1,chat_template,qa,0.012530062530062527,-0.09758617925284593,0.1191919191919192,0.75390625,18
currency,answer_f1,chat_template,raw_question,0.11654240820907485,-0.10076108305274972,0.3473821548821549,0.7744140625,18
currency,answer_f1,declarative,qa,-0.11557639890973226,-0.18264179493346164,-0.044885361552028234,0.00738525390625,18
currency,answer_f1,declarative,raw_question,-0.01156405323071989,-0.13173330527497196,0.12085107022607015,0.60723876953125,18
currency,answer_f1,qa,raw_question,0.10401234567901235,-0.05069304152637484,0.2676423961840627,0.5810546875,18
headquarters,answer_f1,chat_template,declarative,0.0008136924803591491,-0.10215137485970817,0.10051767676767676,1.0,18
headquarters,answer_f1,chat_template,qa,0.08682459515792851,-0.08097402597402595,0.24847011784511785,0.34375,18
headquarters,answer_f1,chat_template,raw_question,-0.02373737373737374,-0.17256593714927052,0.11109147025813687,1.0,18
headquarters,answer_f1,declarative,qa,0.08601090267756935,-0.0029268879268879084,0.2105016434183101,0.109375,18
headquarters,answer_f1,declarative,raw_question,-0.02455106621773289,-0.11605499438832773,0.06656916386083049,0.7744140625,18
headquarters,answer_f1,qa,raw_question,-0.11056196889530226,-0.20837892817059486,-0.021728896103896108,0.34375,18
official_language,answer_f1,chat_template,declarative,0.07191358024691358,0.011103395061728392,0.13152006172839503,0.34375,18
official_language,answer_f1,chat_template,qa,0.08734567901234569,0.0009182098765432117,0.16317129629629612,0.057373046875,18
official_language,answer_f1,chat_template,raw_question,-0.02222222222222222,-0.0594753086419753,0.013580246913580247,0.625,18
official_language,answer_f1,declarative,qa,0.0154320987654321,-0.04292438271604938,0.07623456790123456,0.7744140625,18
official_language,answer_f1,declarative,raw_question,-0.09413580246913579,-0.1454398148148148,-0.042569444444444465,0.0390625,18
official_language,answer_f1,qa,raw_question,-0.1095679012345679,-0.1728395061728395,-0.033950617283950615,0.0224609375,18
